Solution,AEP_Liquido_MWh,Custo_USD,Perdas_Joule_MWh,N_Grupos,File
383,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_383_coords.txt
382,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_382_coords.txt
381,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_381_coords.txt
380,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_380_coords.txt
379,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_379_coords.txt
378,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_378_coords.txt
377,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_377_coords.txt
376,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_376_coords.txt
375,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_375_coords.txt
374,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_374_coords.txt
373,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_373_coords.txt
372,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_372_coords.txt
371,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_371_coords.txt
370,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_370_coords.txt
369,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_369_coords.txt
32,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_32_coords.txt
31,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_31_coords.txt
30,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_30_coords.txt
29,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_29_coords.txt
28,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_28_coords.txt
27,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_27_coords.txt
26,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_26_coords.txt
25,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_25_coords.txt
24,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_24_coords.txt
23,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_23_coords.txt
22,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_22_coords.txt
21,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_21_coords.txt
20,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_20_coords.txt
19,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_19_coords.txt
18,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_18_coords.txt
17,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_17_coords.txt
48,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_48_coords.txt
47,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_47_coords.txt
46,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_46_coords.txt
45,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_45_coords.txt
44,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_44_coords.txt
43,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_43_coords.txt
42,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_42_coords.txt
41,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_41_coords.txt
40,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_40_coords.txt
39,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_39_coords.txt
38,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_38_coords.txt
37,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_37_coords.txt
36,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_36_coords.txt
35,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_35_coords.txt
34,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_34_coords.txt
33,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_33_coords.txt
64,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_64_coords.txt
63,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_63_coords.txt
62,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_62_coords.txt
61,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_61_coords.txt
60,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_60_coords.txt
59,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_59_coords.txt
58,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_58_coords.txt
57,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_57_coords.txt
56,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_56_coords.txt
55,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_55_coords.txt
54,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_54_coords.txt
53,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_53_coords.txt
52,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_52_coords.txt
51,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_51_coords.txt
50,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_50_coords.txt
49,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_49_coords.txt
80,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_80_coords.txt
79,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_79_coords.txt
78,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_78_coords.txt
77,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_77_coords.txt
76,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_76_coords.txt
75,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_75_coords.txt
74,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_74_coords.txt
73,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_73_coords.txt
72,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_72_coords.txt
71,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_71_coords.txt
70,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_70_coords.txt
69,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_69_coords.txt
68,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_68_coords.txt
67,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_67_coords.txt
66,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_66_coords.txt
65,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_65_coords.txt
96,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_96_coords.txt
95,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_95_coords.txt
94,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_94_coords.txt
93,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_93_coords.txt
92,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_92_coords.txt
91,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_91_coords.txt
90,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_90_coords.txt
89,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_89_coords.txt
88,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_88_coords.txt
87,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_87_coords.txt
86,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_86_coords.txt
85,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_85_coords.txt
84,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_84_coords.txt
83,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_83_coords.txt
82,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_82_coords.txt
81,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_81_coords.txt
112,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_112_coords.txt
111,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_111_coords.txt
110,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_110_coords.txt
109,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_109_coords.txt
108,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_108_coords.txt
107,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_107_coords.txt
106,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_106_coords.txt
105,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_105_coords.txt
104,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_104_coords.txt
103,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_103_coords.txt
102,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_102_coords.txt
101,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_101_coords.txt
100,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_100_coords.txt
99,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_99_coords.txt
98,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_98_coords.txt
97,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_97_coords.txt
128,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_128_coords.txt
127,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_127_coords.txt
126,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_126_coords.txt
125,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_125_coords.txt
124,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_124_coords.txt
123,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_123_coords.txt
122,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_122_coords.txt
121,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_121_coords.txt
120,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_120_coords.txt
119,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_119_coords.txt
118,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_118_coords.txt
117,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_117_coords.txt
116,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_116_coords.txt
115,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_115_coords.txt
114,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_114_coords.txt
113,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_113_coords.txt
144,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_144_coords.txt
143,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_143_coords.txt
142,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_142_coords.txt
141,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_141_coords.txt
140,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_140_coords.txt
139,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_139_coords.txt
138,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_138_coords.txt
137,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_137_coords.txt
136,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_136_coords.txt
135,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_135_coords.txt
134,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_134_coords.txt
133,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_133_coords.txt
132,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_132_coords.txt
131,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_131_coords.txt
130,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_130_coords.txt
129,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_129_coords.txt
160,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_160_coords.txt
159,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_159_coords.txt
158,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_158_coords.txt
157,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_157_coords.txt
156,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_156_coords.txt
155,1432294.57,3392453.87,69657.78,4,pareto_front_results/solution_155_coords.txt
