INDPB,MUTPB,CXPB,AEP
0.05,0.05,0.05,381293.90538817074
0.05,0.05,0.1,385009.28313029057
0.05,0.05,0.15,385119.3832578891
0.05,0.05,0.2,388291.79753856524
0.05,0.05,0.25,398051.5190855714
0.05,0.05,0.3,388116.9393281794
0.05,0.05,0.35,401219.3518250955
0.05,0.05,0.4,405459.9785208204
0.05,0.05,0.45,405105.84985426307
0.05,0.05,0.5,407670.3027318481
0.05,0.05,0.55,373485.1081490632
0.05,0.05,0.6,408512.5981756869
0.05,0.05,0.65,405472.3522095735
0.05,0.05,0.7,405862.40855937346
0.05,0.05,0.75,408951.0750245965
0.05,0.05,0.8,407699.01746079966
0.05,0.05,0.85,410201.61399791646
0.05,0.05,0.9,407933.25030749664
0.05,0.05,0.95,407700.64226601366
0.05,0.05,1.0,411278.35358023085
0.05,0.1,0.05,384150.284160119
0.05,0.1,0.1,380838.1390505129
0.05,0.1,0.15,396561.4305120064
0.05,0.1,0.2,396712.24493965023
0.05,0.1,0.25,398741.40318068466
0.05,0.1,0.3,396403.1935839322
0.05,0.1,0.35,399688.24151075643
0.05,0.1,0.4,400276.73642757535
0.05,0.1,0.45,398703.2542764475
0.05,0.1,0.5,408553.7790509165
0.05,0.1,0.55,400666.19037072663
0.05,0.1,0.6,405392.9952882208
0.05,0.1,0.65,403915.43744878785
0.05,0.1,0.7,400842.0551424162
0.05,0.1,0.75,408902.92451065464
0.05,0.1,0.8,407525.7785565338
0.05,0.1,0.85,408039.4212131738
0.05,0.1,0.9,408690.2915137613
0.05,0.1,0.95,404914.4955031164
0.05,0.1,1.0,410241.86826893454
0.05,0.15,0.05,382368.13717764564
0.05,0.15,0.1,372376.0685319641
0.05,0.15,0.15,396815.5527618123
0.05,0.15,0.2,388713.6193005083
0.05,0.15,0.25,396749.55891325406
0.05,0.15,0.3,400664.0281553515
0.05,0.15,0.35,402581.1216146259
0.05,0.15,0.4,402617.6318508859
0.05,0.15,0.45,401621.61752486625
0.05,0.15,0.5,408917.8489899419
0.05,0.15,0.55,410531.408799037
0.05,0.15,0.6,406368.77098977484
0.05,0.15,0.65,406068.37358333234
0.05,0.15,0.7,407285.58594850707
0.05,0.15,0.75,408448.25186266925
0.05,0.15,0.8,409253.3483452333
0.05,0.15,0.85,410210.36701029853
0.05,0.15,0.9,407552.0490712777
0.05,0.15,0.95,409613.1346582585
0.05,0.15,1.0,411175.51893926715
0.05,0.2,0.05,379795.1747252509
0.05,0.2,0.1,382670.4303770164
0.05,0.2,0.15,381860.2913045629
0.05,0.2,0.2,389907.2543740488
0.05,0.2,0.25,397386.14631930646
0.05,0.2,0.3,395939.3866420126
0.05,0.2,0.35,403392.4128084199
0.05,0.2,0.4,400919.9231619391
0.05,0.2,0.45,407518.1942108344
0.05,0.2,0.5,401739.1770646168
0.05,0.2,0.55,408585.55858531647
0.05,0.2,0.6,410862.1879959571
0.05,0.2,0.65,408396.3302010664
0.05,0.2,0.7,411359.558348267
0.05,0.2,0.75,405272.084679339
0.05,0.2,0.8,408007.5276015641
0.05,0.2,0.85,407380.01187759254
0.05,0.2,0.9,412528.9481676046
0.05,0.2,0.95,411082.38828598516
0.05,0.2,1.0,407703.54700368
0.05,0.25,0.05,378172.1651900785
0.05,0.25,0.1,379852.7220448275
0.05,0.25,0.15,385236.80106613727
0.05,0.25,0.2,393157.7441930314
0.05,0.25,0.25,396911.0862675017
0.05,0.25,0.3,398509.56418505363
0.05,0.25,0.35,380975.9518300886
0.05,0.25,0.4,396396.9089025006
0.05,0.25,0.45,407132.6057673667
0.05,0.25,0.5,408422.7087142353
0.05,0.25,0.55,377311.70973971137
0.05,0.25,0.6,406146.3623406518
0.05,0.25,0.65,407192.77334332676
0.05,0.25,0.7,410655.15344364895
0.05,0.25,0.75,405219.13855365216
0.05,0.25,0.8,405298.1048398644
0.05,0.25,0.85,410200.26787155063
0.05,0.25,0.9,412109.80085796997
0.05,0.25,0.95,409933.24400863115
0.05,0.25,1.0,408077.21381215274
0.05,0.3,0.05,379988.1568795544
0.05,0.3,0.1,393463.0619388279
0.05,0.3,0.15,390504.7338658095
0.05,0.3,0.2,381733.73052817205
0.05,0.3,0.25,399780.5811792668
0.05,0.3,0.3,404492.4314629524
0.05,0.3,0.35,382365.81478635693
0.05,0.3,0.4,403550.5710635602
0.05,0.3,0.45,398455.99165396264
0.05,0.3,0.5,406404.992095149
0.05,0.3,0.55,399802.5658247352
0.05,0.3,0.6,401960.0721684523
0.05,0.3,0.65,406267.5578069604
0.05,0.3,0.7,407260.77035008825
0.05,0.3,0.75,409487.88736463
0.05,0.3,0.8,406476.2922833405
0.05,0.3,0.85,410497.1437970162
0.05,0.3,0.9,404858.7571693472
0.05,0.3,0.95,408930.3559145104
0.05,0.3,1.0,410379.57817294914
0.05,0.35,0.05,384953.447842741
0.05,0.35,0.1,377268.3524951319
0.05,0.35,0.15,380230.41485333734
0.05,0.35,0.2,382912.8714918565
0.05,0.35,0.25,402960.6159992438
0.05,0.35,0.3,395171.35746993
0.05,0.35,0.35,397956.66342144535
0.05,0.35,0.4,405510.87406195095
0.05,0.35,0.45,403728.5997537874
0.05,0.35,0.5,381852.8626981446
0.05,0.35,0.55,384825.35791832383
0.05,0.35,0.6,398377.71428022836
0.05,0.35,0.65,404570.6818893227
0.05,0.35,0.7,403429.32196379063
0.05,0.35,0.75,411298.7803562543
0.05,0.35,0.8,407006.92107159557
0.05,0.35,0.85,406741.0372334105
0.05,0.35,0.9,406572.9501368253
0.05,0.35,0.95,411451.62701045466
0.05,0.35,1.0,407827.5263882641
0.05,0.4,0.05,382992.1647803595
0.05,0.4,0.1,389465.8512147082
0.05,0.4,0.15,391834.0573593417
0.05,0.4,0.2,380230.4148533371
0.05,0.4,0.25,401963.07926942525
0.05,0.4,0.3,380569.8676030963
0.05,0.4,0.35,401290.3880100837
0.05,0.4,0.4,405343.18454502965
0.05,0.4,0.45,402915.44200239226
0.05,0.4,0.5,405850.8246182955
0.05,0.4,0.55,402901.9523018381
0.05,0.4,0.6,404127.51003663905
0.05,0.4,0.65,407738.24989814375
0.05,0.4,0.7,410678.1988143799
0.05,0.4,0.75,405258.51557580364
0.05,0.4,0.8,406448.2482202544
0.05,0.4,0.85,403324.89296080376
0.05,0.4,0.9,408147.1820095688
0.05,0.4,0.95,405405.59857081855
0.05,0.4,1.0,406648.5596979507
0.05,0.45,0.05,383107.73257646465
0.05,0.45,0.1,382821.8115133289
0.05,0.45,0.15,400787.0635513602
0.05,0.45,0.2,386850.27326383954
0.05,0.45,0.25,400886.08011702274
0.05,0.45,0.3,400975.28189717606
0.05,0.45,0.35,382598.24420409853
0.05,0.45,0.4,382573.8534262151
0.05,0.45,0.45,377311.1586127487
0.05,0.45,0.5,408811.65537250333
0.05,0.45,0.55,408216.62329816155
0.05,0.45,0.6,406258.99299276335
0.05,0.45,0.65,410392.72508394404
0.05,0.45,0.7,403545.79977594374
0.05,0.45,0.75,408025.15266706096
0.05,0.45,0.8,405570.96218838345
0.05,0.45,0.85,409634.48182060674
0.05,0.45,0.9,410941.73263921373
0.05,0.45,0.95,408302.6354310492
0.05,0.45,1.0,411943.32843496854
0.05,0.5,0.05,384082.55301828554
0.05,0.5,0.1,383043.3844029525
0.05,0.5,0.15,379439.68782298977
0.05,0.5,0.2,396651.1190511557
0.05,0.5,0.25,394576.6867511096
0.05,0.5,0.3,398264.5517513937
0.05,0.5,0.35,403563.46115771844
0.05,0.5,0.4,399320.42029005254
0.05,0.5,0.45,402392.6361534137
0.05,0.5,0.5,382011.83916675276
0.05,0.5,0.55,404450.0804358426
0.05,0.5,0.6,400328.0004089335
0.05,0.5,0.65,409445.3293801186
0.05,0.5,0.7,404928.4215327919
0.05,0.5,0.75,409102.92009470833
0.05,0.5,0.8,404905.46406768606
0.05,0.5,0.85,405613.16972472577
0.05,0.5,0.9,411488.3256393594
0.05,0.5,0.95,409026.4352385624
0.05,0.5,1.0,408924.985378272
0.05,0.55,0.05,378086.4506678585
0.05,0.55,0.1,390793.7966732192
0.05,0.55,0.15,393926.82630386663
0.05,0.55,0.2,383768.952987331
0.05,0.55,0.25,400105.81701890245
0.05,0.55,0.3,397867.9087593134
0.05,0.55,0.35,404977.65221178706
0.05,0.55,0.4,392264.6472770215
0.05,0.55,0.45,404589.73960843356
0.05,0.55,0.5,406024.038208087
0.05,0.55,0.55,405945.2681410897
0.05,0.55,0.6,399795.2615968211
0.05,0.55,0.65,400894.0093182998
0.05,0.55,0.7,407710.0065622536
0.05,0.55,0.75,405341.9337472476
0.05,0.55,0.8,410347.9773047881
0.05,0.55,0.85,407874.41465743957
0.05,0.55,0.9,410231.7479050495
0.05,0.55,0.95,409931.02124126826
0.05,0.55,1.0,411204.8488117495
0.05,0.6,0.05,384494.9666591999
0.05,0.6,0.1,381752.9411946016
0.05,0.6,0.15,381023.9670401457
0.05,0.6,0.2,388516.96104388684
0.05,0.6,0.25,402179.3950595758
0.05,0.6,0.3,407180.52068176004
0.05,0.6,0.35,400550.5209785544
0.05,0.6,0.4,396206.4810491822
0.05,0.6,0.45,400109.6215325479
0.05,0.6,0.5,403027.79410514573
0.05,0.6,0.55,403697.16172766744
0.05,0.6,0.6,401189.9248298566
0.05,0.6,0.65,399527.89779605955
0.05,0.6,0.7,409915.2733260641
0.05,0.6,0.75,411483.95830923464
0.05,0.6,0.8,411275.77952782
0.05,0.6,0.85,408381.95144857536
0.05,0.6,0.9,409689.7221580406
0.05,0.6,0.95,407961.5396062108
0.05,0.6,1.0,408572.6204627023
0.05,0.65,0.05,387584.8368776024
0.05,0.65,0.1,392157.47673577134
0.05,0.65,0.15,395418.5184258828
0.05,0.65,0.2,381247.0941450314
0.05,0.65,0.25,379093.01819111174
0.05,0.65,0.3,406271.7645116339
0.05,0.65,0.35,400939.38342840475
0.05,0.65,0.4,401837.85242958216
0.05,0.65,0.45,400824.58929864597
0.05,0.65,0.5,408034.50485942286
0.05,0.65,0.55,402394.2797976536
0.05,0.65,0.6,382690.9828983705
0.05,0.65,0.65,409090.14395532676
0.05,0.65,0.7,408580.71262660413
0.05,0.65,0.75,404788.1755833103
0.05,0.65,0.8,408335.5772474472
0.05,0.65,0.85,409871.03771981876
0.05,0.65,0.9,407166.08649001946
0.05,0.65,0.95,408183.39156690275
0.05,0.65,1.0,408225.60793980217
0.05,0.7,0.05,379954.06975595345
0.05,0.7,0.1,382817.5988860051
0.05,0.7,0.15,389496.67784616817
0.05,0.7,0.2,389617.8575242324
0.05,0.7,0.25,400867.2550507703
0.05,0.7,0.3,396180.01404326013
0.05,0.7,0.35,409018.370979268
0.05,0.7,0.4,381621.35195080633
0.05,0.7,0.45,408538.97491413873
0.05,0.7,0.5,381870.58631568216
0.05,0.7,0.55,401970.2576267249
0.05,0.7,0.6,404466.53122145927
0.05,0.7,0.65,406444.8851531994
0.05,0.7,0.7,408610.0941632844
0.05,0.7,0.75,409202.75087658374
0.05,0.7,0.8,406569.76507448475
0.05,0.7,0.85,408849.4789363448
0.05,0.7,0.9,409307.83510848624
0.05,0.7,0.95,409473.97760275775
