INDPB,MUTPB,CXPB,AEP
0.05,0.05,0.05,1336284.2866131219
0.05,0.05,0.1,1332307.4415995977
0.05,0.05,0.15,1317590.8029108061
0.05,0.05,0.2,1338974.4794639568
0.05,0.05,0.25,1336166.7181562337
0.05,0.05,0.3,1341159.2936971467
0.05,0.05,0.35,1328110.4556355947
0.05,0.05,0.4,1333452.13990891
0.05,0.05,0.45,1331325.6235583595
0.05,0.05,0.5,1336085.6974178848
0.05,0.05,0.55,1327575.678969039
0.05,0.05,0.6,1328111.9978416848
0.05,0.05,0.65,1333997.1936087175
0.05,0.05,0.7,1445749.7119005064
0.05,0.05,0.75,1324028.6407865048
0.05,0.05,0.8,1341177.1661822642
0.05,0.05,0.85,1337619.4217200656
0.05,0.05,0.9,1333831.6803792
0.05,0.05,0.95,1338722.305614808
0.05,0.05,1.0,1333574.7369850809
0.05,0.1,0.05,1334108.104356158
0.05,0.1,0.1,1335214.791216608
0.05,0.1,0.15,1339618.6371121036
0.05,0.1,0.2,1346085.7525333716
0.05,0.1,0.25,1334737.0899085216
0.05,0.1,0.3,1340734.2166676072
0.05,0.1,0.35,1326149.0274448148
0.05,0.1,0.4,1320234.5240639974
0.05,0.1,0.45,1337901.952903829
0.05,0.1,0.5,1341153.9647772617
0.05,0.1,0.55,1327377.1024209089
0.05,0.1,0.6,1322153.2189486115
0.05,0.1,0.65,1322565.1794758388
0.05,0.1,0.7,1341566.2106842322
0.05,0.1,0.75,1340548.2720045012
0.05,0.1,0.8,1338662.3604566394
0.05,0.1,0.85,1341809.9449355132
0.05,0.1,0.9,1336107.2896407256
0.05,0.1,0.95,1343469.9594650571
0.05,0.1,1.0,1352025.480084758
0.05,0.15,0.05,1344230.9756284337
0.05,0.15,0.1,1335914.8358598372
0.05,0.15,0.15,1330172.9993097042
0.05,0.15,0.2,1328744.6559476438
0.05,0.15,0.25,1336184.517823974
0.05,0.15,0.3,1342040.0933739415
0.05,0.15,0.35,1326658.1634255408
0.05,0.15,0.4,1329467.072351575
0.05,0.15,0.45,1342075.474158105
0.05,0.15,0.5,1340812.5727983676
0.05,0.15,0.55,1330609.3604657808
0.05,0.15,0.6,1347887.5667758198
0.05,0.15,0.65,1343507.043856203
0.05,0.15,0.7,1328866.4873218194
0.05,0.15,0.75,1333894.3703320888
0.05,0.15,0.8,1342727.6674668537
0.05,0.15,0.85,1341838.212023108
0.05,0.15,0.9,1341831.9424841779
0.05,0.15,0.95,1343460.278265722
0.05,0.15,1.0,1338284.4370872937
0.05,0.2,0.05,1340132.594872986
0.05,0.2,0.1,1346451.6594266142
0.05,0.2,0.15,1335479.9330646442
0.05,0.2,0.2,1347202.3327948637
0.05,0.2,0.25,1351635.3573840894
0.05,0.2,0.3,1334490.6391022874
0.05,0.2,0.35,1346618.5492048424
0.05,0.2,0.4,1349002.1430301194
0.05,0.2,0.45,1334431.0900284394
0.05,0.2,0.5,1334305.6350881578
0.05,0.2,0.55,1327057.9521615398
0.05,0.2,0.6,1346973.745687205
0.05,0.2,0.65,1331924.5386326252
0.05,0.2,0.7,1338308.2071924694
0.05,0.2,0.75,1348038.6148401268
0.05,0.2,0.8,1350443.685174798
0.05,0.2,0.85,1344988.1280728364
0.05,0.2,0.9,1351937.3960721942
0.05,0.2,0.95,1342165.917738937
0.05,0.2,1.0,1349223.6502354247
0.05,0.25,0.05,1344270.4122536068
0.05,0.25,0.1,1348627.5923405443
0.05,0.25,0.15,1336615.3078026301
0.05,0.25,0.2,1337012.030029335
0.05,0.25,0.25,1342093.0970710814
0.05,0.25,0.3,1336140.0921092983
0.05,0.25,0.35,1340607.7380531332
0.05,0.25,0.4,1356386.6176114262
0.05,0.25,0.45,1340648.4281751034
0.05,0.25,0.5,1329837.5771233842
0.05,0.25,0.55,1335350.3884758726
0.05,0.25,0.6,1343131.5209623743
0.05,0.25,0.65,1346689.366160962
0.05,0.25,0.7,1345355.744461826
0.05,0.25,0.75,1342335.4064224954
0.05,0.25,0.8,1332667.1148773367
0.05,0.25,0.85,1449827.1415260579
0.05,0.25,0.9,1342970.8081998576
0.05,0.25,0.95,1349930.8084476574
0.05,0.25,1.0,1338947.6265856354
0.05,0.3,0.05,1347013.60531049
0.05,0.3,0.1,1340926.0941468053
0.05,0.3,0.15,1339382.5073462164
0.05,0.3,0.2,1333647.6646071733
0.05,0.3,0.25,1335618.169285771
0.05,0.3,0.3,1349189.752531214
0.05,0.3,0.35,1344289.5013357433
0.05,0.3,0.4,1337992.069006077
0.05,0.3,0.45,1339555.1413739268
0.05,0.3,0.5,1323130.8771288004
0.05,0.3,0.55,1338168.8657592884
0.05,0.3,0.6,1339844.9217606112
0.05,0.3,0.65,1458960.3027948013
0.05,0.3,0.7,1340187.8319897326
0.05,0.3,0.75,1347463.72500098
0.05,0.3,0.8,1345338.3534299498
0.05,0.3,0.85,1347219.5236195326
0.05,0.3,0.9,1343593.4788119532
0.05,0.3,0.95,1347061.5138652727
0.05,0.3,1.0,1344190.4984976435
0.05,0.35,0.05,1339600.5488329502
0.05,0.35,0.1,1343273.7583544743
0.05,0.35,0.15,1349610.075201503
0.05,0.35,0.2,1335236.7224920471
0.05,0.35,0.25,1346220.710144573
0.05,0.35,0.3,1346702.6031479107
0.05,0.35,0.35,1340027.0699241501
0.05,0.35,0.4,1343035.9352934759
0.05,0.35,0.45,1347406.6383182453
0.05,0.35,0.5,1358046.7729975488
0.05,0.35,0.55,1456594.507697944
0.05,0.35,0.6,1335603.2568867118
0.05,0.35,0.65,1343334.99216149
0.05,0.35,0.7,1338107.1257414303
0.05,0.35,0.75,1340089.5002314537
0.05,0.35,0.8,1349689.8142615869
0.05,0.35,0.85,1342634.9411820944
0.05,0.35,0.9,1350553.7430563509
0.05,0.35,0.95,1347463.7250009798
0.05,0.35,1.0,1352150.4087519015
0.05,0.4,0.05,1336627.9565475467
0.05,0.4,0.1,1333318.115337484
0.05,0.4,0.15,1343564.867173651
0.05,0.4,0.2,1340327.4599825717
0.05,0.4,0.25,1350946.5968021925
0.05,0.4,0.3,1344674.799976414
0.05,0.4,0.35,1345636.680777636
0.05,0.4,0.4,1423156.686735272
0.05,0.4,0.45,1347631.054031542
0.05,0.4,0.5,1342398.1933719558
0.05,0.4,0.55,1342376.8333458877
0.05,0.4,0.6,1338854.169387983
0.05,0.4,0.65,1352670.1458267518
0.05,0.4,0.7,1344343.0235913503
0.05,0.4,0.75,1342220.3803599947
0.05,0.4,0.8,1442525.3068763635
0.05,0.4,0.85,1431638.08848371
0.05,0.4,0.9,1347907.8020222953
0.05,0.4,0.95,1341357.986654715
0.05,0.4,1.0,1341306.6461310508
0.05,0.45,0.05,1353748.6339115386
0.05,0.45,0.1,1333003.362637014
0.05,0.45,0.15,1344925.03059247
0.05,0.45,0.2,1343639.9908112762
0.05,0.45,0.25,1345422.877138726
0.05,0.45,0.3,1336858.535793804
0.05,0.45,0.35,1349318.1413594203
0.05,0.45,0.4,1347565.2697024432
0.05,0.45,0.45,1362874.2340877661
0.05,0.45,0.5,1342749.5338256895
0.05,0.45,0.55,1353684.6421490442
0.05,0.45,0.6,1354289.9399332218
0.05,0.45,0.65,1334262.538698953
0.05,0.45,0.7,1360024.287364322
0.05,0.45,0.75,1424625.5200515592
0.05,0.45,0.8,1344972.8072936698
0.05,0.45,0.85,1341119.6824024213
0.05,0.45,0.9,1348777.0982034313
0.05,0.45,0.95,1351787.7195684235
0.05,0.45,1.0,1348927.9366421297
0.05,0.5,0.05,1350944.611600148
0.05,0.5,0.1,1336642.4938937416
0.05,0.5,0.15,1325839.8657517019
0.05,0.5,0.2,1342670.6508363555
0.05,0.5,0.25,1355289.146616979
0.05,0.5,0.3,1346756.4237787751
0.05,0.5,0.35,1334619.049276473
0.05,0.5,0.4,1345224.0400372213
0.05,0.5,0.45,1362270.8511198624
0.05,0.5,0.5,1340195.7461544117
0.05,0.5,0.55,1336864.3359085217
0.05,0.5,0.6,1347960.8517005187
0.05,0.5,0.65,1440392.3180886363
0.05,0.5,0.7,1350921.3275442815
0.05,0.5,0.75,1351029.3560095122
0.05,0.5,0.8,1346324.0677926196
0.05,0.5,0.85,1350471.342162768
0.05,0.5,0.9,1347259.5513317827
0.05,0.5,0.95,1347815.8681890438
0.05,0.5,1.0,1346700.1994623141
0.05,0.55,0.05,1347492.4876819702
0.05,0.55,0.1,1325072.155124211
0.05,0.55,0.15,1350902.5447456322
0.05,0.55,0.2,1355087.9732621165
0.05,0.55,0.25,1333330.817162609
0.05,0.55,0.3,1333690.8146740014
0.05,0.55,0.35,1344369.0412238494
0.05,0.55,0.4,1346296.5256284915
0.05,0.55,0.45,1347779.459088497
0.05,0.55,0.5,1343937.0346998563
0.05,0.55,0.55,1342357.0056045786
0.05,0.55,0.6,1338768.6464440448
0.05,0.55,0.65,1345993.2195192203
0.05,0.55,0.7,1355088.1070716418
0.05,0.55,0.75,1352202.105743635
0.05,0.55,0.8,1341915.5329123887
0.05,0.55,0.85,1345277.06191446
0.05,0.55,0.9,1346845.965573308
0.05,0.55,0.95,1354454.9267451675
0.05,0.55,1.0,1348938.7629826805
0.05,0.6,0.05,1339031.25744939
0.05,0.6,0.1,1346589.1292459036
0.05,0.6,0.15,1342137.0987042976
0.05,0.6,0.2,1343080.2387421923
0.05,0.6,0.25,1331578.723034623
0.05,0.6,0.3,1340025.4862218276
0.05,0.6,0.35,1342421.109176172
0.05,0.6,0.4,1344855.8134301968
0.05,0.6,0.45,1343645.6972302939
0.05,0.6,0.5,1345412.4551163353
0.05,0.6,0.55,1330861.7097673
0.05,0.6,0.6,1330637.4072705363
0.05,0.6,0.65,1335388.1776535753
0.05,0.6,0.7,1342012.7397098015
0.05,0.6,0.75,1352753.036321693
0.05,0.6,0.8,1348938.7629826807
0.05,0.6,0.85,1354063.2456709398
0.05,0.6,0.9,1354063.245671117
0.05,0.6,0.95,1351470.1388108293
0.05,0.6,1.0,1352655.9174269678
0.05,0.65,0.05,1347174.009364336
0.05,0.65,0.1,1345583.8054391295
0.05,0.65,0.15,1348060.530215186
0.05,0.65,0.2,1348623.971180485
0.05,0.65,0.25,1354571.630953985
0.05,0.65,0.3,1342473.4941796032
0.05,0.65,0.35,1336951.5613224073
0.05,0.65,0.4,1349398.076062946
0.05,0.65,0.45,1352210.421619921
0.05,0.65,0.5,1347302.1753278787
0.05,0.65,0.55,1337183.7377638482
0.05,0.65,0.6,1338480.4575795839
0.05,0.65,0.65,1455432.9313643018
0.05,0.65,0.7,1350441.7593040091
0.05,0.65,0.75,1349542.395605516
0.05,0.65,0.8,1453584.9236428556
0.05,0.65,0.85,1350982.828641506
0.05,0.65,0.9,1353888.4719103128
0.05,0.65,0.95,1350117.3323228587
0.05,0.65,1.0,1351982.0191722943
0.05,0.7,0.05,1344349.0630945042
0.05,0.7,0.1,1341593.3641930418
0.05,0.7,0.15,1346962.2433384336
0.05,0.7,0.2,1345172.3866911237
0.05,0.7,0.25,1345785.6872184
0.05,0.7,0.3,1348889.634576811
0.05,0.7,0.35,1347414.609762734
0.05,0.7,0.4,1344784.4700690375
0.05,0.7,0.45,1347370.449601323
0.05,0.7,0.5,1355909.782901539
0.05,0.7,0.55,1344353.26520975
0.05,0.7,0.6,1344021.138554519
0.05,0.7,0.65,1452800.2390293176
0.05,0.7,0.7,1345399.9500235918
0.05,0.7,0.75,1358255.5921772674
0.05,0.7,0.8,1346158.2391334139
0.05,0.7,0.85,1423179.0056724017
0.05,0.7,0.9,1348128.582811242
0.05,0.7,0.95,1355951.3142194275
0.05,0.7,1.0,1348669.8427922633
0.05,0.75,0.05,1349625.7547454191
0.05,0.75,0.1,1349401.7494532126
