Authors,Title,Year,Volume,DOI,Abstract,Author Keywords,Document Type
"Souza de Alencar, M.; Göçmen, T.; Cutululis, N.A.",Flexible cable routing framework for wind farm collection system optimization,2026,329,10.1016/j.ejor.2025.07.069,"The wind farm cable routing problem is an important element of offshore wind power plant design optimization. The prohibition of cable crossings places it in a category of its own compared to related combinatorial optimization problems. A novel framework that systematizes implementing this constraint with benefits to solution quality and computational cost is presented. It reframes the problem with separate topological and embedding layers and relies on the insight that tree graphs are always embeddable on the plane. This reduces the number of constraints related to crossings and enables the use of non-straight connections without changing the problem size. Gains in solution quality are attained because the search space retains near-optimal solutions commonly excluded by crossing constraints in state-of-the-art approaches. Reductions in computational cost are obtained by concomitantly pruning unlikely connections from the search space. Moreover, the framework facilitates the application of vehicle-routing heuristics (unaware of crossings) to the cable routing problem by leveraging the empirical observation that most crossings involve feeder cables. Meta-heuristic- and branch-and-cut-based optimizers are used to demonstrate the framework, which is optimizer-agnostic. Comparative results with solutions from the literature show decreases in total cable length of 1.6 to 17%, while run times are at least 60-fold reduced. The framework's implementation is made fully available through an open-source license. The improved computational efficiency and solution quality achieved with the developed framework make it a valuable tool for optimizing offshore wind farm collection systems, potentially reducing cost, increasing feasibility, and allowing for faster design iterations. © 2025 The Authors",Collection system; Combinatorial optimization; Network design; Wind farm,Article
"Tao, S.; Yang, J.; Zheng, G.; He, R.; Feijóo-Lorenzo, A.E.",A two-stage optimization model for floating offshore wind farm layout and control,2025,253,10.1016/j.renene.2025.123614,"The effective planning of wind turbine (WT) positions in a wind farm (WF) plays a crucial role in capturing wind energy and increasing power generation. Control optimization of WT attitudes can also help reduce wake effects and increase power generation, thereby maximizing the annual electricity production (AEP) of a WF. In this paper, a two-stage optimization model is proposed for planning the stationary layout of floating offshore wind farms (FOWFs), as well as the positions and attitudes of the floating offshore wind turbines (FOWTs) via optimal control. In the first stage, a competitive particle swarm optimizer (CPSO) is employed to generate multiple FOWF layouts. In the second stage, the genetic algorithm (GA) is utilized to optimize the yaw angles and axial induction factors of the FOWTs for operation control. Unlike the existing approaches that address WT layout design and operation control sequentially and separately, the proposed method integrates these aspects to simplify the FOWTs operation and to improve their performances. Additionally, taking the movable characteristics of the FOWTs into consideration, the proposed model incorporates the positional movement of the FOWTs under varying wind conditions, making the power calculations more realistic. Case studies demonstrate that compared with the traditional layout-only optimization, the proposed two-stage optimization model can help increase the AEP of the FOWFs by 4.72 %. © 2025 Elsevier Ltd",Competitive particle swarm optimizer; Floating offshore wind farm; Floating offshore wind turbine; Layout and control; Two-stage optimization model,Article
"He, J.; Dong, L.; Ge, M.",TOPOLOGY OPTIMIZATION OF LARGE-SCALE OFFSHORE WIND FARM POWER COLLECTION SYSTEM; 大型海上风电场集电系统拓扑优化研究,2025,46,10.19912/j.0254-0096.tynxb.2024-0245,By improving the constraint conditions of the traditional mixed-linear integer programming model and introducing optional path pre-reduction and dynamically generated non-crossing constraints of cables，a path planning method for the collector system suitable for large-scale offshore wind farms is proposed. The case test shows that the cost of the optimized wind farm collection line is reduced by 7.27%. The improved model significantly reduces the storage space requirement and solution time，and greatly enhances the computational efficiency. © 2025 Science Press. All rights reserved.,electric cable laying; mathematical programming; mixed-integer linear programming; offshore wind farms; path planning; topology optimization,Article
"Hu, P.; Yuan, X.",A Method for Detecting Buried Depth of Submarine Cables in Offshore Wind Power Based on Steady-State Magnetic Field Characteristics,2025,,10.1109/NETPS65392.2025.11102083,"Offshore wind power is critical for carbon emission reduction and energy structure transformation. Submarine cables, critical infrastructure for offshore wind systems, exhibit operational reliability inherently linked to power transmission efficiency, with buried depth identified as a key monitoring parameter. Conventional detection methods(acoustic and magnetic) are inherently constrained by algorithmic constraints, requiring preplanned S-shaped scanning along survey lines to measure buried depth only at intersection points, while results are prone to geomagnetic and magnetic interference. This paper presents a steady-state magnetic field-based technique for continuous buried depth detection along cable routes. By using a three-axis fluxgate sensor to measure the cable-generated magnetic field, the vertical distance from the sensor to the cable is derived. Fusing this with bathymeter data thus enables precise buried depth calculation. Offshore experiments validated the method's accuracy. The proposed approach achieves efficient, interference-resistant buried depth detection, reducing survey time and enhancing operational efficiency. It provides theoretical support for advancing cable route positioning, fault localization, and marine equipment development, thereby lowering offshore wind maintenance costs and improving power generation benefits. © 2025 IEEE.",buried depth; Magnetic field; Offshore wind power; Submarine cable; Three-axis fluxgate,Conference paper
"Yuan, S.; Tang, K.",Application of an Improved Ant Colony Optimization Algorithm to Wind-Farm Topology Design,2025,,10.1109/ICSP65755.2025.11086778,"As modern wind farms scale up, an optimal configuration of intra-farm submarine cables has become pivotal to both capital expenditure and operational efficiency. Conventional routing techniques rarely incorporate the full suite of real-world constraints, leading to unnecessary costs and construction challenges. To overcome these limitations, we formulate a cable-routing optimisation model that explicitly minimises total expenditure while embedding practical restrictions such as cable-capacity limits, branch-access regulations, non-crossing requirements, and branch-count control to guarantee topological feasibility. Building on this model, we introduce a Hybrid Particle Swarm Optimiser with Genetic Inheritance (YPSO). The proposed algorithm augments the canonical particle-swarm update rules with structural inheritance and parent-learning strategies, thereby reinforcing global exploration and stabilising convergence. A comprehensive benchmark against three state-of-the-art methods - standard PSO, Kinetic-Energy-Compensated PSO (DPSO), and Adaptive PSO (ZPSO) - demonstrates pronounced differences in convergence speed, structural rationality, and cost control. Empirical results show that YPSO consistently outperforms competing algorithms in layout compactness, branch organisation, and objective-function optimisation, achieving an average cable-routing cost reduction of 3.82 % across multiple test cases while maintaining excellent stability and robustness. The proposed modelling approach and optimisation strategy thus provide an effective decision-support framework for the practical design of wind-farm cabling systems © 2025 IEEE.",electrical-system topology; genetic algorithm (GA); offshore wind farm; particle swarm optimization (PSO),Conference paper
"Jiangyi, L.; Huo, H.; Qian, Z.",Topology Optimization of Offshore Wind Farm Collection System Based on Priority Queue Esau-Williams Algorithm,2025,1397 LNEE,10.1007/978-981-96-4059-1_26,"This paper presents an optimization method for addressing the topology optimization problem of offshore wind farm collection systems. First, a comprehensive cost model is developed, encompassing cable investment costs, initial construction costs, and failure opportunity losses. Second, the Priority Queue Esau-Williams (EW) algorithm, previously introduced in [1], is employed to enhance the flexibility of the traditional EW algorithm and improve the convergence of total weight. The algorithm is further extended by incorporating a simple, precise, and widely applicable cross-product method for cable crossing detection, ensuring compliance with subsea cable crossing prevention constraints while maintaining the practical feasibility of cable installation. On this basis, the paper further explores topology optimization under practical engineering constraints, such as cable capacity limits and subsea cable voltage constraints. To further reduce costs, the model integrates hybrid turbine and cable selection strategies. Finally, a case study is conducted based on the actual layout of the Walney Offshore Wind Farm. The results demonstrate that the proposed optimization method effectively reduces the construction and operational costs of offshore wind farm collection systems, significantly enhancing their economic efficiency and reliability. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.",Collection System; Crossing Prevention Constraint; Esau-Williams Algorithm; Offshore Wind Farm; Priority Queue; Topology Optimization,Conference paper
"Jiang, Z.; Li, H.; Yang, H.; Wu, H.; Liu, W.; Chen, Z.",Review of Artificial Intelligence-Based Design Optimization of Wind Power Systems,2025,5,10.3390/wind5030018,"This paper reviews the applications of artificial intelligence (AI) in the design optimization of wind power systems, mainly including (1) wind farm layout optimization; (2) wind turbine design optimization; and (3) wind farm electrical system design optimization. Firstly, this paper introduces the general considerations in the optimal design of wind power systems and the AI methods commonly used for the optimal design of wind power systems. Then the applications of AI in the optimal design of wind farms are reviewed in detail. Finally, further research directions of using AI methods in the optimal design of wind power systems are recommended. © 2025 by the authors.",artificial intelligence; electrical collection systems; genetic algorithm; particle swarm algorithm; wind farm layout; wind turbine,Review
"Vilajuana Llorente, S.; Rapha, J.I.; Kallinger, M.D.; Domínguez-García, J.L.",Floating Offshore Wind Farm Inter-Array Cabling Topology Optimisation with Metaheuristic Particle Swarm Optimisation,2025,7,10.3390/cleantechnol7040110,"Floating offshore wind is now receiving much attention as an expansion to bottom-fixed, especially in deep waters with large wind resources. In this regard, improving the performance and efficiency of floating offshore wind farms (FOWFs) is currently a highly addressed topic. The inter-array (IA) cable connection is a key aspect to be optimised. Due to floating offshore wind (FOW) particularities such as dynamic cable designs, higher power capacities, and challenging installation, IA cabling is expected to be a primary cost driver for commercial-scale FOWFs. Therefore, IA cabling optimisation can lead to large cost reductions. In this work, an optimisation with an adaptive particle swarm optimisation (PSO) algorithm for such wind farms is proposed, considering the floating substructures’ horizontal translations and its impact on the dynamic cable length. The method provides an optimised IA connection, reducing acquisition costs and power losses by using a clustered minimum spanning tree (MST) as an initial solution and improving it with the PSO algorithm. The PSO achieves a reduction in the levelised cost of energy (LCOE) between 0.018% (0.022 EUR/MWh) and 0.10% (0.12 EUR/MWh) and a reduction in cable acquisition costs between 0.18% (0.3 M EUR) and 1.34% (3.8 M EUR) compared to the initial solution, showing great potential for future commercial-sized FOWFs. © 2025 by the authors.",cabling optimisation; clustering; dynamic cables; floating wind; levelised cost of energy; particle swarm optimisation; power losses,Article
"Jin, R.; Hou, P.; Qi, Y.; Huang, Z.; Chen, Y.; Li, H.; Cai, X.",Joint planning of distribution and transmission system for offshore wind farms integrated with hydrogen production platforms,2025,398,10.1016/j.apenergy.2025.126383,"With the growing sophistication of offshore wind technology, the development of offshore wind‑hydrogen system is evolving as a cost-efficient approach to harnessing far offshore wind resource. However, the costs associated with inter-array cables, the offshore hydrogen production platform (OHPP) and the hydrogen pipeline constitute a substantial portion of the capital expenditure (CAPEX) for this hybrid system, underscoring the critical need for optimization in the distribution and transmission system design of offshore wind‑hydrogen system. In this study, we introduce an integrated design model for the distribution and transmission system of this hybrid system, considering local wind conditions and various hydrogen production efficiencies, with the aim of minimizing investment cost, expected power losses cost and expected fault loss cost. Given the complexity of this problem, we employ a double-layer framework for solutions. The upper layer utilizes rigorous mathematical proofs to clarify the relationship between optimal OHPP capacity and its location. Meanwhile, the lower layer addresses a nonconvex mixed-integer nonlinear programming (MINLP) problem for jointly optimizing the cable connection layout and OHPP position. Due to its intractability, we construct a relaxed mixed-integer second-order cone programming (MISOCP) model and rigorously prove that its optimal solution aligns with that of the original problem. In our computational experiments, we found that the integrated design model reduces expected costs by an average of 3.88 % compared to solving subproblems separately. Compared with other optimization methods, our optimization framework is both concise and efficient, capable of finding a globally optimal solution within an acceptable timeframe. Lastly, sensitivity analysis reveals that even a slight increase in hydrogen production efficiency can significantly reduce expected costs, each 1 % improvement in efficiency reduces total cost by 0.94 %. © 2025 Elsevier Ltd",Hydrogen production efficiency; Hydrogen production platforms; Offshore wind farms; Wind conditions,Article
"Zheng, Z.; Pan, Z.; Yao, Z.; Tan, H.; Wang, F.; Xu, J.",Multi-parameter and multi-objective optimization of hydroforming loading paths: a study on instrument panel tube beam design based on NSGA-II,2025,47,10.1007/s40430-025-05500-5,"As a key structure of the vehicle, the instrument panel tube beam (IPTB) plays a critical role in improving the safety and comfort of the interior. Therefore, the hydroforming method should be used to fabricate similar tubular automotive parts to improve the machining efficiency and reduce the weight of the parts. The hydroforming process is mainly affected by axial feed and internal pressure (IP), in which the thickening and thinning rates are important hydroforming quality inspection indexes. In this paper, the effects of axial feed rate (AFR) and IP loading path on the hydroforming of IPTB are investigated by numerical analysis and experimental tests. A multi-objective optimization method is used to obtain the optimal loading path that meets both forming quality and processing feasibility. The traditional theoretical analysis combined with experimental analysis for loading path optimization requires a large number of theoretical foundations and experiments, which increases the optimization cost. Finite element (FE) simulation combined with multi-objective optimization method overcomes this drawback by using FE model instead of real experiments, which improves the efficiency while reducing the optimization cost. In this paper, a fast and elitist non-dominated sorting genetic algorithm (NSGA-II) is used to complete the multi-objective optimization of the loading path by setting 14 AFR control parameters and 12 IP control parameters, LS-DYNA and Python are integrated to complete the automated optimization searching, and a total of 13 independent Pareto optimal loading paths are obtained. The optimized loading paths effectively improve the thickness uniformity of the support plate in the middle of the IPTB and reduce the risk of wrinkling and cracking in the left transition section. Finally, a hydroforming validation is completed using the fitted loading path, which further demonstrates the accuracy of the method in loading path optimization. The multi-objective optimization design of the loading path of process parameters in the hydroforming of IPTB has been developed to obtain optimal parameter combinations, thereby providing theoretical guidance for the selection of processing parameters in actual production. © The Author(s), under exclusive licence to The Brazilian Society of Mechanical Sciences and Engineering 2025.",Hydroforming; IPTB; Loading path; NSGA-II; Optimization,Article
"Zhou, Z.; Lin, Z.; Ma, Y.; Niu, J.; Liu, J.; Wang, X.",Optimal design of colour formulation prediction for cotton fabrics based on NSGA-II and TOPSIS,2025,141,10.1111/cote.12749,"The prediction of colour formulation is an important step in reproducing the target colour. At present, there are relatively few researches on multi-objective colour formulation problem, and the colour matching accuracy needs to be improved. In this research, a multi-objective evolutionary meta-heuristic method based on the Fast and Elitist Multi-objective Genetic Algorithm (NSGA-II) was proposed to predict the target colour recipes. The method used dye concentration as a variable and included three objective functions: (1) minimising the CMC (Colour Measurement Committee) colour difference between the formulation colour and the target colour, (2) minimising the metamerism index, and (3) minimising the cost of the formulation. The algorithm could obtain the Pareto optimal solution set after iteration. On this basis, the best combination of formulations was selected from the optimal solution set by combining the Expert Scoring Method (ESM), Entropy Weight Method (EWM) and the Technique for Order Preference by Similarity to Ideal Solution (TOPSIS). The prediction effect of the model was evaluated by taking cotton fabrics and reactive dyes actually used in plant as examples. The results showed that 87.5% of the formulations met the CMC colour difference value of no more than 1, the metamerism index of 90.0% of the formulations did not exceed 1, and the cost of 92.5% of the formulations was reduced relative to the maximum extent in the Pareto optimal solution set. Further studies should be focused on removing duplicate individuals to give better diversity in the Pareto optimal solution set. © 2024 Society of Dyers and Colourists.",,Article
"Amaro Pinazo, M.",New genetic gray wolf optimizer with a random selective mutation for wind farm layout optimization,2024,10,10.1016/j.heliyon.2024.e40135,"The wake effect is a relevant factor in determining the optimal distribution of wind turbines within the boundaries of a wind farm. This reduces the incident wind speed on downstream wind turbines, which results in a decrease in energy production for the wind farm. This paper proposes a novel approach for optimizing the distribution of wind turbines using a new Genetic Gray Wolf Optimizer (GGWO). The GGWO employs a teamwork model inspired by wolf prey hunting, guided by four leaders: Alpha, Beta, Delta, and Omicron wolves, each with different hierarchical weights. To improve the competitiveness of the wolves, GGWO utilizes genetic algorithm operators such as crossover blending, normal mutation, and a new genetic operator called Random Selective Mutation (RSM), which improves solution search efficiency. The proposed GGWO is compared to other algorithms such as Gray Wolf Optimizer (GWO), Particle Swarm Optimization (PSO), Artificial Bee Colony (ABC), and Ant Colony Optimization (ACO). The studies examine varying wind speeds in magnitude and direction throughout the year, as well as different wind farm boundaries. The outcomes show that GGWO successfully identifies the ideal locations for wind turbines, scoring better scores in terms of total simulation duration and annual energy generation for the wind farm. It surpasses the performance of GWO, ABC, and PSO algorithms and exhibits comparable competitiveness with more intricate algorithms like ACO. © 2024 The Author",Annual energy production; Genetic algorithms; Genetic gray wolf optimizer; Random selective mutation; Wake effect; Wind farm layout optimization,Article
