Solution,AEP_Liquido_MWh,Custo_USD,Perdas_Joule_MWh,N_Grupos,File
1,1570099.07,3038163.81,37987.50,5,pareto_front_results/solution_1_coords.txt
7,1568801.43,3025007.40,39285.14,5,pareto_front_results/solution_7_coords.txt
2,1568801.43,3025007.40,39285.14,5,pareto_front_results/solution_2_coords.txt
9,1568801.43,3025007.40,39285.14,5,pareto_front_results/solution_9_coords.txt
8,1568801.43,3025007.40,39285.14,5,pareto_front_results/solution_8_coords.txt
10,1568801.43,3025007.40,39285.14,5,pareto_front_results/solution_10_coords.txt
6,1568801.43,3025007.40,39285.14,5,pareto_front_results/solution_6_coords.txt
5,1568801.43,3025007.40,39285.14,5,pareto_front_results/solution_5_coords.txt
4,1568801.43,3025007.40,39285.14,5,pareto_front_results/solution_4_coords.txt
3,1568801.43,3025007.40,39285.14,5,pareto_front_results/solution_3_coords.txt
11,1464751.30,2884947.34,35837.67,5,pareto_front_results/solution_11_coords.txt
12,1460611.57,2871723.80,36114.18,5,pareto_front_results/solution_12_coords.txt
13,1446726.58,2871357.51,36380.16,5,pareto_front_results/solution_13_coords.txt
14,1446610.51,2838331.10,36496.23,5,pareto_front_results/solution_14_coords.txt
15,1442737.35,2823520.12,35673.27,5,pareto_front_results/solution_15_coords.txt
16,1442737.35,2823520.12,35673.27,5,pareto_front_results/solution_16_coords.txt
17,1442737.35,2823520.12,35673.27,5,pareto_front_results/solution_17_coords.txt
18,1442737.35,2823520.12,35673.27,5,pareto_front_results/solution_18_coords.txt
19,1442737.35,2823520.12,35673.27,5,pareto_front_results/solution_19_coords.txt
20,1442737.35,2823520.12,35673.27,5,pareto_front_results/solution_20_coords.txt
21,1442737.35,2823520.12,35673.27,5,pareto_front_results/solution_21_coords.txt
22,1442737.35,2823520.12,35673.27,5,pareto_front_results/solution_22_coords.txt
23,1442737.35,2823520.12,35673.27,5,pareto_front_results/solution_23_coords.txt
24,1442737.35,2823520.12,35673.27,5,pareto_front_results/solution_24_coords.txt
25,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_25_coords.txt
26,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_26_coords.txt
27,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_27_coords.txt
28,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_28_coords.txt
29,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_29_coords.txt
30,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_30_coords.txt
31,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_31_coords.txt
32,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_32_coords.txt
33,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_33_coords.txt
34,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_34_coords.txt
35,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_35_coords.txt
36,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_36_coords.txt
37,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_37_coords.txt
38,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_38_coords.txt
39,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_39_coords.txt
40,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_40_coords.txt
41,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_41_coords.txt
42,1442737.35,2823520.11,35673.27,5,pareto_front_results/solution_42_coords.txt
43,1442737.34,2823520.11,35673.28,5,pareto_front_results/solution_43_coords.txt
44,1442737.34,2823520.11,35673.28,5,pareto_front_results/solution_44_coords.txt
45,1442737.34,2823520.11,35673.28,5,pareto_front_results/solution_45_coords.txt
46,1442737.34,2823520.11,35673.28,5,pareto_front_results/solution_46_coords.txt
47,1442737.34,2823520.11,35673.28,5,pareto_front_results/solution_47_coords.txt
48,1442737.34,2823520.10,35673.28,5,pareto_front_results/solution_48_coords.txt
49,1442737.34,2823520.10,35673.28,5,pareto_front_results/solution_49_coords.txt
50,1442737.34,2823520.10,35673.28,5,pareto_front_results/solution_50_coords.txt
51,1442737.34,2823520.10,35673.28,5,pareto_front_results/solution_51_coords.txt
52,1442737.34,2823520.10,35673.28,5,pareto_front_results/solution_52_coords.txt
53,1442737.34,2823520.10,35673.28,5,pareto_front_results/solution_53_coords.txt
54,1442737.34,2823520.10,35673.28,5,pareto_front_results/solution_54_coords.txt
55,1442737.34,2823520.10,35673.28,5,pareto_front_results/solution_55_coords.txt
56,1442737.34,2823520.10,35673.28,5,pareto_front_results/solution_56_coords.txt
