Solution,AEP_Liquido_MWh,Custo_USD,Perdas_Joule_MWh,N_Grupos,File
620,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_620_coords.txt
619,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_619_coords.txt
618,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_618_coords.txt
617,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_617_coords.txt
616,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_616_coords.txt
615,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_615_coords.txt
614,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_614_coords.txt
613,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_613_coords.txt
612,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_612_coords.txt
611,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_611_coords.txt
610,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_610_coords.txt
609,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_609_coords.txt
32,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_32_coords.txt
31,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_31_coords.txt
30,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_30_coords.txt
29,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_29_coords.txt
28,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_28_coords.txt
27,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_27_coords.txt
26,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_26_coords.txt
25,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_25_coords.txt
24,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_24_coords.txt
23,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_23_coords.txt
22,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_22_coords.txt
21,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_21_coords.txt
20,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_20_coords.txt
19,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_19_coords.txt
18,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_18_coords.txt
17,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_17_coords.txt
48,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_48_coords.txt
47,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_47_coords.txt
46,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_46_coords.txt
45,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_45_coords.txt
44,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_44_coords.txt
43,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_43_coords.txt
42,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_42_coords.txt
41,858251.31,1084798.29,6946.38,4,pareto_front_results_36/solution_41_coords.txt
