Method,AEP_Liquido_MWh,AEP_Bruto_MWh,Custo_Total_USD,Perdas_Joule_MWh,N_Grupos,Comprimento_Total_km,Secao_Cabo_mm2,Substation_X_m,Substation_Y_m,Time_Total_seconds,N_Solutions_Pareto,Spread,Hypervolume,AEP_Max_MWh,AEP_Min_MWh,Cost_Max_USD,Cost_Min_USD,N_Generations,Seed,Run,Time_Phase1_seconds,Time_Phase2_seconds,N_Generations_Phase1,N_Generations_Phase2,AEP_Bruto_Phase1_MWh,N_Top_Layouts_Phase1
Baseline,826346.55,830728.66,951429.74,4382.11,7,28.64,185,-553.82,130.31,4839.52,300,0.03,16060564714947.74,841126.96,804777.20,1111527.35,902831.27,2000,1108694665,1,,,,,,
Sequential,950844.72,958623.10,1733416.35,7778.38,7,52.18,185,514.86,146.59,2477.07,1,0.00,17368684538703.85,950844.72,950844.72,1733416.35,1733416.35,2000,1108694665,1,0.00,0.00,1000.00,1000.00,958623.10,
Proposed,951271.14,961717.46,1721034.03,10446.32,6,51.81,185,2342.43,-272.07,2936.84,297,0.05,17604640936848.98,953619.77,928164.30,2233557.00,1535395.43,2000,1108694665,1,0.00,0.00,1000.00,1000.00,,30.00
Baseline,828132.65,832422.15,783973.73,4289.50,8,29.11,150,230.50,356.95,5107.32,300,0.05,16182444889611.93,839964.93,811099.14,1131566.98,729019.39,2000,1348442306,2,,,,,,
Sequential,939191.45,951576.01,2600154.78,12384.56,5,60.33,240,-78.68,-81.57,2746.68,1,0.00,16341785939357.28,939191.45,939191.45,2600154.78,2600154.78,2000,1348442306,2,0.00,0.00,1000.00,1000.00,951576.01,
Proposed,932420.02,942534.53,2312949.10,10114.51,5,53.67,240,-179.73,100.41,2948.76,8,0.17,16959817074696.59,943862.18,912297.89,2773502.24,2019016.56,2000,1348442306,2,0.00,0.00,1000.00,1000.00,,30.00
Baseline,835199.24,841239.99,1021550.08,6040.75,6,30.75,185,-37.41,897.71,5166.71,249,0.05,15998643902798.60,838932.07,812874.99,1247396.57,926844.01,2000,1695892534,3,,,,,,
Sequential,942361.55,954780.50,2676610.30,12418.95,5,62.11,240,-112.93,322.17,2627.68,1,0.00,16324896299904.13,942361.55,942361.55,2676610.30,2676610.30,2000,1695892534,3,0.00,0.00,1000.00,1000.00,954780.50,
Proposed,940511.88,951129.94,2085510.77,10618.06,5,48.39,240,305.84,-1747.69,2962.60,7,0.23,17219189333627.15,954847.87,914318.37,2118514.74,1961190.24,2000,1695892534,3,0.00,0.00,1000.00,1000.00,,30.00
Baseline,842967.27,847694.56,868615.32,4727.29,8,32.25,150,-294.94,135.84,4824.16,296,0.04,16558211095575.56,857514.64,822889.76,1114493.64,680235.26,2000,919711410,4,,,,,,
Sequential,944155.78,952709.00,1234159.43,8553.22,9,57.27,120,-457.93,279.34,2528.38,1,0.00,17717876891908.21,944155.78,944155.78,1234159.43,1234159.43,2000,919711410,4,0.00,0.00,1000.00,1000.00,952709.00,
Proposed,938861.38,947975.47,2204587.79,9114.10,5,51.15,240,-481.25,-9.88,2914.43,4,0.67,16943065859668.36,938861.38,935240.14,2204587.79,1952630.42,2000,919711410,4,0.00,0.00,1000.00,1000.00,,30.00
Baseline,838468.53,843500.65,954497.64,5032.12,6,28.73,185,64.88,-56.17,5166.37,300,0.04,16321341876364.45,855030.92,818351.02,1131076.81,908097.22,2000,1520506204,5,,,,,,
Sequential,948578.10,957755.99,1697668.65,9177.90,8,63.03,150,499.76,-401.45,2597.03,1,0.00,17361190665765.09,948578.10,948578.10,1697668.65,1697668.65,2000,1520506204,5,0.00,0.00,1000.00,1000.00,957755.99,
Proposed,942185.06,953257.91,2032155.17,11072.85,6,61.17,185,1104.91,-388.38,2964.86,265,0.05,17364514827065.40,949302.84,915582.95,2469138.68,1696564.61,2000,1520506204,5,0.00,0.00,1000.00,1000.00,,30.00
Sequential,942768.50,952555.56,1527692.56,9787.06,8,56.72,150,11.18,-331.82,2468.64,0,0,1,0.00,17415109628324.99,942768.50,942768.50,1527692.56,1527692.56,2000,1000,1000,952555.56,251101609,6,
Proposed,943868.15,951913.08,1881849.11,8044.93,7,56.65,185,1218.68,-583.00,2950.11,0,0,268,0.06,17248583412275.43,946582.53,930458.32,2531382.37,1774825.82,2000,1000,1000,,251101609,6,30.00
Baseline,853657.52,858772.04,987560.43,5114.52,8,36.66,150,5.86,36.89,4772.12,300,0.04,16519377034874.39,860218.90,817285.25,1303133.17,787352.32,2000,855272541,7,,,,,,
Sequential,942761.42,952982.06,1843895.59,10220.65,6,55.50,185,960.88,-137.36,2674.55,1,0.00,17116874726004.49,942761.42,942761.42,1843895.59,1843895.59,2000,855272541,7,0.00,0.00,1000.00,1000.00,952982.06,
Proposed,942479.77,951241.41,2141228.20,8761.64,5,49.68,240,485.89,54.04,2802.49,4,0.27,16878673183363.42,942479.77,922675.21,2141228.20,2090198.73,2000,855272541,7,0.00,0.00,1000.00,1000.00,,30.00
Baseline,836257.47,842129.83,985079.16,5872.36,6,29.65,185,247.81,91.42,5178.45,300,0.03,16496662798219.48,862078.96,789513.70,1213687.64,854430.91,2000,2039941897,8,,,,,,
Sequential,950220.58,959392.42,1975495.50,9171.85,7,59.47,185,-918.92,-336.64,2492.74,1,0.00,17127255078821.32,950220.58,950220.58,1975495.50,1975495.50,2000,2039941897,8,0.00,0.00,1000.00,1000.00,959392.42,
Proposed,936270.25,945812.51,2169052.65,9542.26,5,50.33,240,1684.33,-477.25,3006.31,289,0.04,17444254181343.53,954202.45,914545.74,2397808.04,1697866.69,2000,2039941897,8,0.00,0.00,1000.00,1000.00,,30.00
Baseline,836436.28,841680.13,751721.20,5243.85,9,34.88,120,-309.29,289.55,4938.72,300,0.04,16647130618154.88,863837.73,822054.28,1197063.57,717360.28,2000,1503575420,9,,,,,,
Sequential,942938.68,953155.29,1870667.47,10216.62,8,69.45,150,504.17,182.70,2642.09,1,0.00,17094848805458.09,942938.68,942938.68,1870667.47,1870667.47,2000,1503575420,9,0.00,0.00,1000.00,1000.00,953155.29,
Proposed,936854.86,949237.23,2152754.00,12382.37,5,49.95,240,-1096.29,1771.67,2969.44,7,0.21,16959742685804.52,943830.63,905647.06,2738807.32,2025155.19,2000,1503575420,9,0.00,0.00,1000.00,1000.00,,30.00
Baseline,835130.82,840436.09,896502.57,5305.27,8,33.28,150,-21.62,499.65,5038.30,300,0.04,16227554172364.20,844122.81,826676.73,1134741.33,771653.27,2000,711538836,10,,,,,,
Sequential,944283.39,953757.55,1679747.99,9474.16,6,50.56,185,466.20,-396.84,2664.89,1,0.00,17299509762434.67,944283.39,944283.39,1679747.99,1679747.99,2000,711538836,10,0.00,0.00,1000.00,1000.00,953757.55,
Proposed,937265.38,945460.35,1388502.11,8194.97,8,51.55,150,138.97,136.31,2934.42,289,0.04,17682849547535.91,948022.11,913502.73,2478548.78,1336612.01,2000,711538836,10,0.00,0.00,1000.00,1000.00,,30.00
Sequential,947885.16,956736.27,1634483.36,8851.11,8,60.68,150,-821.18,946.84,2492.43,0,0,1,0.00,17408400712433.49,947885.16,947885.16,1634483.36,1634483.36,2000,1000,1000,956736.27,2074501024,11,
Proposed,942599.85,951752.46,1936412.60,9152.61,7,58.29,185,-586.19,-750.78,2912.41,0,0,300,0.04,17198168464738.90,946334.62,931167.49,2108932.45,1825267.85,2000,1000,1000,,2074501024,11,30.00
Baseline,833741.86,838380.81,834120.80,4638.95,8,30.97,150,-177.13,344.77,4878.63,300,0.04,16307316056464.06,844477.04,808229.77,1188136.51,679877.74,2000,476884543,12,,,,,,
Sequential,947695.42,956838.31,1713856.84,9142.89,8,63.63,150,89.44,692.86,2598.17,1,0.00,17329694059459.54,947695.42,947695.42,1713856.84,1713856.84,2000,476884543,12,0.00,0.00,1000.00,1000.00,956838.31,
Proposed,948803.52,960357.60,2012681.68,11554.08,6,60.58,185,325.77,225.10,2924.96,95,0.08,17375945600330.05,949929.39,932144.02,3018057.63,1703900.30,2000,476884543,12,0.00,0.00,1000.00,1000.00,,30.00
Baseline,836616.03,841320.40,877780.89,4704.37,8,32.59,150,-317.79,-207.93,5210.66,298,0.05,16156833924135.72,844821.13,832120.19,1129536.97,873330.70,2000,631501715,13,,,,,,
Sequential,946951.69,954954.32,1865327.06,8002.63,7,56.15,185,-1112.50,-171.51,2629.93,1,0.00,17172659199908.68,946951.69,946951.69,1865327.06,1865327.06,2000,631501715,13,0.00,0.00,1000.00,1000.00,954954.32,
Proposed,947127.35,960178.23,2387175.42,13050.88,6,71.86,185,-1520.99,-335.66,2969.13,296,0.04,17660004157567.61,961331.57,928239.35,2984644.25,1600609.18,2000,631501715,13,0.00,0.00,1000.00,1000.00,,30.00
Sequential,944116.85,953127.25,2026031.47,9010.40,7,60.99,185,472.42,-1130.98,2561.42,0,0,1,0.00,16969526621358.27,944116.85,944116.85,2026031.47,2026031.47,2000,1000,1000,953127.25,45725809,14,
Proposed,930249.78,939651.85,1660057.78,9402.07,8,61.63,150,-625.67,588.34,2998.04,0,0,7,0.29,17389693179891.89,937233.76,923935.99,2562146.89,1436197.25,2000,1000,1000,,45725809,14,30.00
Sequential,943845.93,952571.86,1824410.77,8725.93,7,54.92,185,-291.79,-378.11,2602.99,0,0,1,0.00,17154955961579.53,943845.93,943845.93,1824410.77,1824410.77,2000,1000,1000,952571.86,2032855785,15,
Proposed,935901.39,945112.67,1788663.21,9211.28,6,53.84,185,-200.26,-560.05,2964.93,0,0,292,0.05,17433741170396.47,950813.18,903012.24,2428318.92,1656692.70,2000,1000,1000,,2032855785,15,30.00
Baseline,833405.82,838165.16,801290.40,4759.35,8,29.75,150,581.77,680.93,5095.93,300,0.03,16394599746266.74,852928.96,819849.89,879638.79,776532.11,2000,1799313592,16,,,,,,
Sequential,942349.27,951201.76,1594309.41,8852.50,8,59.19,150,-263.92,97.30,2639.65,1,0.00,17344589003407.75,942349.27,942349.27,1594309.41,1594309.41,2000,1799313592,16,0.00,0.00,1000.00,1000.00,951201.76,
Proposed,942858.70,953558.87,1770356.83,10700.18,6,53.29,185,-1328.55,923.99,3027.29,210,0.07,17420510114770.67,952715.78,923967.75,2478283.40,1706443.63,2000,1799313592,16,0.00,0.00,1000.00,1000.00,,30.00
Baseline,822610.63,827279.44,858214.69,4668.81,8,31.86,150,-513.09,96.95,5163.41,300,0.05,16194239486311.69,843251.59,797149.07,1011216.79,789357.10,2000,593256793,17,,,,,,
Sequential,945047.47,954925.09,1699179.47,9877.62,8,63.08,150,-562.22,-290.37,2532.50,1,0.00,17295144083292.14,945047.47,945047.47,1699179.47,1699179.47,2000,593256793,17,0.00,0.00,1000.00,1000.00,954925.09,
Proposed,948614.89,960679.24,1902891.53,12064.35,6,57.28,185,2107.85,-506.11,3012.41,300,0.04,17421027830219.71,959125.52,925876.20,2012223.86,1834187.17,2000,593256793,17,0.00,0.00,1000.00,1000.00,,30.00
Sequential,939667.22,949057.81,1694906.26,9390.60,8,62.92,150,287.20,764.79,2611.03,0,0,1,0.00,17200696473558.64,939667.22,939667.22,1694906.26,1694906.26,2000,1000,1000,949057.81,1870530934,18,
Proposed,938045.43,946316.25,2051306.04,8270.82,7,61.75,185,1303.90,-551.52,2821.32,0,0,299,0.04,17333671549898.49,952145.87,930298.98,2577706.13,1783864.61,2000,1000,1000,,1870530934,18,30.00
Baseline,829606.61,834579.27,700763.67,4972.66,9,32.52,120,-467.80,213.84,4984.49,300,0.03,16673440749814.67,863513.17,801392.15,1260815.93,675395.99,2000,1502774542,19,,,,,,
Sequential,943984.60,953864.26,1885114.96,9879.66,6,56.74,185,492.62,243.46,2726.81,1,0.00,17100172520407.09,943984.60,943984.60,1885114.96,1885114.96,2000,1502774542,19,0.00,0.00,1000.00,1000.00,953864.26,
Proposed,936016.30,946833.59,2164756.85,10817.29,5,50.23,240,-2353.02,2072.96,3017.62,5,0.31,17025913979336.14,941747.04,917686.84,2320885.48,1914002.36,2000,1502774542,19,0.00,0.00,1000.00,1000.00,,30.00
Baseline,837916.51,842493.44,859368.43,4576.93,8,31.90,150,135.48,439.81,4966.35,300,0.04,16317457540558.26,847708.97,809740.67,1356473.20,745733.20,2000,160095538,20,,,,,,
Sequential,942818.90,952503.09,1979133.60,9684.19,7,59.58,185,-7.66,-11.48,2653.07,1,0.00,16990413399288.65,942818.90,942818.90,1979133.60,1979133.60,2000,160095538,20,0.00,0.00,1000.00,1000.00,952503.09,
Proposed,947737.90,958814.00,1752393.91,11076.11,6,52.75,185,-757.27,-44.67,2888.01,300,0.05,17594101447561.44,956481.26,936462.51,1797300.51,1602058.45,2000,160095538,20,0.00,0.00,1000.00,1000.00,,30.00
