Method,AEP_Liquido_MWh,AEP_Bruto_MWh,Custo_Total_USD,Perdas_Joule_MWh,N_Grupos,Comprimento_Total_km,Secao_Cabo_mm2,Substation_X_m,Substation_Y_m,Time_Total_seconds,Time_Phase1_seconds,Time_Phase2_seconds,N_Solutions_Pareto,Spread,Hypervolume,AEP_Max_MWh,AEP_Min_MWh,Cost_Max_USD,Cost_Min_USD,N_Generations,N_Generations_Phase1,N_Generations_Phase2,AEP_Bruto_Phase1_MWh,Seed,Run,N_Top_Layouts_Phase1
Sequential,1498072.08,1513276.13,3283909.90,15204.05,9,76.20,240,548.02,122.02,6500.83,0,0,1,0.00,25041907910602.80,1498072.08,1498072.08,3283909.90,3283909.90,2000,1000,1000,1513276.13,513535377,1,
Proposed,1448900.85,1491515.60,3179910.23,42614.75,5,73.79,240,-1342.78,3133.16,7224.73,0,0,3,0.16,24512463705264.09,1449880.63,1442778.04,3313077.42,3092944.83,2000,1000,1000,,513535377,1,30.00
Baseline,1324649.29,1342806.96,2439155.71,18157.67,7,56.60,240,-137.54,-956.47,12744.27,31,0.25,23399973864411.75,1324649.29,1323068.92,2439155.71,2334842.17,2000,1188896429,2,,,,,,
Sequential,1499547.70,1519525.23,3041027.22,19977.54,7,70.56,240,557.57,-717.58,6654.99,1,0.00,25430788549114.83,1499547.70,1499547.70,3041027.22,3041027.22,2000,1188896429,2,0.00,0.00,1000.00,1000.00,1519525.23,
Proposed,1441560.67,1487630.36,3283863.17,46069.68,5,76.20,240,-3942.37,778.64,7137.25,1,0.00,6728181669227.96,428463.64,428463.64,4296960.20,4296960.20,2000,1188896429,2,0.00,0.00,1000.00,1000.00,,30.00
Baseline,1339987.34,1358758.01,2455116.22,18770.67,7,56.97,240,1064.70,204.38,12730.31,5,0.27,23958457787127.15,1365063.29,1330839.78,2605499.15,2446114.27,2000,1318750126,3,,,,,
Sequential,1516611.96,1531906.77,3101073.28,15294.81,9,71.96,240,139.02,-22.23,6412.09,1,0.00,25629114417676.99,1516611.96,1516611.96,3101073.28,3101073.28,2000,1318750126,3,0.00,0.00,1000.00,1000.00,1531906.77
Sequential,1496127.80,1521010.57,3492656.94,24882.76,7,81.04,240,-238.78,338.74,6530.75,0,0,1,0.00,24697094933601.72,1496127.80,1496127.80,3492656.94,3492656.94,2000,1000,1000,1521010.57,1278316310,4,
Proposed,1462788.95,1508641.61,3474317.77,45852.66,5,80.62,240,-1589.90,-2421.59,7207.17,0,0,2,0.00,13783322057586.77,859570.15,794290.36,4077536.57,3955606.63,2000,1000,1000,,1278316310,4,30.00
Sequential,1487824.06,1516601.28,3422433.84,28777.23,6,79.41,240,-458.90,-767.53,6782.37,0,0,1,0.00,24664501755628.91,1487824.06,1487824.06,3422433.84,3422433.84,2000,1000,1000,1516601.28,1964592376,5,
Proposed,1446527.24,1489642.82,3032142.32,43115.58,5,70.36,240,-2968.94,-787.43,7286.76,0,0,3,0.19,24812231301908.25,1455240.09,1429895.72,3084087.45,2947956.39,2000,1000,1000,,1964592376,5,30.00
Baseline,1337363.16,1362333.24,2448018.18,24970.09,6,56.80,240,-1846.17,631.12,13057.12,14,0.38,23718771413544.69,1337363.16,1324133.88,2448018.18,2262691.31,2000,847142937,6,,,,,,
Sequential,1493750.79,1520085.50,3560283.68,26334.71,7,82.61,240,-213.20,363.34,6646.85,1,0.00,24556839311781.71,1493750.79,1493750.79,3560283.68,3560283.68,2000,847142937,6,0.00,0.00,1000.00,1000.00,1520085.50,
Proposed,1430390.40,1479976.83,3168766.72,49586.43,5,73.53,240,-2686.24,-2877.87,7221.61,8,0.28,6954726885175.14,438398.67,370824.88,4259790.12,4130191.98,2000,847142937,6,0.00,0.00,1000.00,1000.00,,30.00
Baseline,1292075.77,1316951.02,2396950.92,24875.25,6,55.62,240,743.06,-1713.47,13075.88,9,0.00,22744473218749.62,1292075.77,1292075.77,2396950.92,2396950.92,2000,218482910,7,,,,,,
Sequential,1485268.04,1516897.38,3589063.38,31629.34,6,83.28,240,-372.46,403.26,6761.49,1,0.00,24374639686582.12,1485268.04,1485268.04,3589063.38,3589063.38,2000,218482910,7,0.00,0.00,1000.00,1000.00,1516897.38,
Proposed,1466470.06,1511679.54,3202483.98,45209.48,5,74.31,240,1169.49,2779.46,7385.51,1,0.00,7369068220844.28,466470.06,466470.06,4202483.98,4202483.98,2000,218482910,7,0.00,0.00,1000.00,1000.00,,30.00
Baseline,1335382.70,1360247.27,2428908.69,24864.57,6,56.36,240,183.45,1431.32,13352.86,300,0.00,23464131330192.79,1335382.70,1335382.70,2428908.69,2428908.69,2000,131364113,8,,,,,
Sequential,1500615.37,1515792.17,3123413.60,15176.80,9,72.47,240,335.71,249.11,6546.58,1,0.00,25325264884482.62,1500615.37,1500615.37,3123413.60,3123413.60,2000,131364113,8,0.00,0.00,1000.00,1000.00,1515792.17
Sequential,1498794.26,1516046.16,3030924.50,17251.90,8,70.33,240,195.85,122.39,6705.99,0,0,1,0.00,25433153029003.69,1498794.26,1498794.26,3030924.50,3030924.50,2000,1000,1000,1516046.16,1766176547,9,
Proposed,1461151.95,1503947.81,3300599.84,42795.86,5,76.59,240,-3208.91,765.54,7314.30,0,0,2,0.00,24507863637460.93,1461151.95,1442706.42,3300599.84,3226085.37,2000,1000,1000,,1766176547,9,30.00
Sequential,1536423.49,1555249.71,3500220.06,18826.21,8,81.22,240,666.15,241.27,6654.56,0,0,1,0.00,25350649498044.40,1536423.49,1536423.49,3500220.06,3500220.06,2000,1000,1000,1555249.71,2111838758,10,
Proposed,1411969.99,1456558.48,2958809.48,44588.49,5,68.66,240,-3539.02,-840.11,5322.44,0,0,1,0.00,22681039092527.03,1336847.14,1336847.14,3033932.33,3033932.33,2000,1000,1000,,2111838758,10,30.00
Sequential,1512104.90,1531760.62,3415076.67,19655.72,8,79.24,240,204.75,81.31,3451.08,0,0,1,0.00,25078143783744.37,1512104.90,1512104.90,3415076.67,3415076.67,2000,1000,1000,1531760.62,208084078,11,
Proposed,1489038.04,1529737.12,3419950.70,40699.08,5,79.36,240,-2322.94,-904.41,3824.36,0,0,6,0.11,25127547140791.50,1494814.25,1470171.15,3606651.26,3186258.97,2000,1000,1000,,208084078,11,30.00
Sequential,1510808.78,1528794.22,3185310.03,17985.44,8,73.91,240,196.28,-209.52,3447.73,0,0,1,0.00,25403781284625.86,1510808.78,1510808.78,3185310.03,3185310.03,2000,1000,1000,1528794.22,33940,12,
Proposed,1400444.76,1439356.16,3060927.54,38911.40,5,71.02,240,-2120.60,2013.40,3812.67,0,0,2,0.00,23733179310735.88,1400444.76,1288505.71,3060927.54,3052433.97,2000,1000,1000,,33940,12,30.00
Sequential,1500133.02,1519287.39,3503101.80,19154.37,8,81.29,240,304.13,333.68,3449.14,0,0,1,0.00,24747541707520.87,1500133.02,1500133.02,3503101.80,3503101.80,2000,1000,1000,1519287.39,1633782513,13
Baseline,1343411.73,1356496.52,2338592.51,13084.79,8,54.26,240,302.40,-25.78,6700.93,298,0.08,23820559423960.91,1343411.73,1301874.34,2338592.51,2266375.54,2000,1895341258,14,,,,,,
Sequential,1489555.79,1511460.00,3024210.29,21904.21,7,70.17,240,456.43,386.39,3492.09,1,0.00,25286385866752.44,1489555.79,1489555.79,3024210.29,3024210.29,2000,1895341258,14,0.00,0.00,1000.00,1000.00,1511460.00,
Proposed,1442179.29,1499736.51,3606405.26,57557.21,5,83.68,240,-287.53,-4991.73,3846.29,1,0.00,1022401734668.05,68071.68,68071.68,4980512.87,4980512.87,2000,1895341258,14,0.00,0.00,1000.00,1000.00,,30.00
Sequential,1498552.37,1522957.00,3505093.77,24404.63,7,81.33,240,-172.25,64.73,3516.54,0,0,1,0.00,24718480815031.54,1498552.37,1498552.37,3505093.77,3505093.77,2000,1000,1000,1522957.00,2093240634,15,
Proposed,1432549.90,1484755.63,3819899.90,52205.72,5,88.64,240,-1697.36,-2405.89,3856.66,0,0,1,0.00,20833751174186.38,1298382.09,1298382.09,3954067.71,3954067.71,2000,1000,1000,,2093240634,15,30.00
Baseline,1309004.85,1320638.42,2366365.00,11633.57,9,54.91,240,492.08,-562.31,6685.21,244,0.06,23534367175605.79,1328748.00,1303758.09,2463859.52,2285415.18,2000,829053107,16,,,,,,
Sequential,1514556.28,1534179.92,3431923.65,19623.64,8,79.63,240,-15.77,49.89,3475.68,1,0.00,25093283998963.61,1514556.28,1514556.28,3431923.65,3431923.65,2000,829053107,16,0.00,0.00,1000.00,1000.00,1534179.92,
Proposed,1447431.47,1490869.37,3199413.97,43437.90,5,74.24,240,-1659.87,-3037.28,3862.60,1,0.00,24317696876656.27,1447431.47,1447431.47,3199413.97,3199413.97,2000,829053107,16,0.00,0.00,1000.00,1000.00,,30.00
Baseline,1351848.28,1368591.36,2422607.97,16743.08,7,56.21,240,-1184.52,-377.72,6882.25,297,0.07,23919704491752.26,1351848.28,1315045.52,2422607.97,2302763.65,2000,1530783602,17,,,,,,
Sequential,1515995.26,1539013.46,3293552.77,23018.20,7,76.42,240,233.55,-808.42,3530.78,1,0.00,25326894891949.11,1515995.26,1515995.26,3293552.77,3293552.77,2000,1530783602,17,0.00,0.00,1000.00,1000.00,1539013.46,
Proposed,1466749.34,1509691.44,3976871.96,42942.10,5,92.28,240,2377.68,563.01,3844.68,3,0.41,24178640661496.75,1465847.01,1457477.95,3977774.29,3502659.99,2000,1530783602,17,0.00,0.00,1000.00,1000.00,,30.00
Baseline,1338117.85,1356092.18,2436202.01,17974.33,7,56.53,240,-891.78,-367.70,6873.32,299,0.07,23636071676729.36,1338117.85,1329620.78,2436202.01,2335722.08,2000,1862248288,18,,,,,,
Sequential,1510867.01,1527357.03,3123484.69,16490.01,9,72.48,240,699.97,297.84,3422.71,1,0.00,25498170275257.43,1510867.01,1510867.01,3123484.69,3123484.69,2000,1862248288,18,0.00,0.00,1000.00,1000.00,1527357.03,
Proposed,1446448.22,1489321.95,3153157.31,42873.73,5,73.17,240,-1587.28,3407.52,3853.83,2,0.00,7162336112315.73,446448.22,441999.90,4153157.31,3955099.78,2000,1862248288,18,0.00,0.00,1000.00,1000.00,,30.00
Sequential,1512530.17,1531088.89,3586511.69,18558.71,8,83.22,240,249.53,-427.29,3472.03,0,0,1,0.00,24825896309237.37,1512530.17,1512530.17,3586511.69,3586511.69,2000,1000,1000,1531088.89,1896807983,19
Baseline,1321101.84,1344523.64,2426941.24,23421.79,6,56.31,240,-445.96,1043.90,6982.42,297,0.06,23516852060479.83,1331139.71,1265650.72,2545191.55,2328023.51,2000,1078538208,20,,,,,,
Sequential,1498069.82,1516479.96,3296154.02,18410.14,8,76.48,240,0.33,-331.81,3569.57,1,0.00,25023527554530.41,1498069.82,1498069.82,3296154.02,3296154.02,2000,1078538208,20,0.00,0.00,1000.00,1000.00,1516479.96,
Proposed,1460207.31,1498594.53,2992385.07,38387.22,5,69.43,240,2408.75,816.00,3846.51,5,0.37,25004849091931.81,1462307.43,1455207.51,3128294.63,2899770.92,2000,1078538208,20,0.00,0.00,1000.00,1000.00,,30.00
