INDPB,MUTPB,CXPB,AEP
0.05,0.05,0.05,6579808.144080672
0.05,0.05,0.1,6680817.381790023
0.05,0.05,0.15,6650390.347255505
0.05,0.05,0.2,6674997.256314269
0.05,0.05,0.25,6686589.045001736
0.05,0.05,0.3,6702131.028439057
0.05,0.05,0.35,5721975.62078464
0.05,0.05,0.4,6796020.442104996
0.05,0.05,0.45,6889493.314372746
0.05,0.05,0.5,6859687.736388707
0.05,0.05,0.55,6915629.253892774
0.05,0.05,0.6,6783811.50190405
0.05,0.05,0.65,6935079.82685636
0.05,0.05,0.7,6940462.567056543
0.05,0.05,0.75,6937374.374647068
0.05,0.05,0.8,6942167.9915096145
0.05,0.05,0.85,6974226.99645861
0.05,0.05,0.9,6963878.863227727
0.05,0.05,0.95,7014912.26412618
0.05,0.05,1.0,6663202.3054314405
0.05,0.1,0.05,6625316.467819453
0.05,0.1,0.1,6553954.90529418
0.05,0.1,0.15,6610127.973030521
0.05,0.1,0.2,6695478.865892063
0.05,0.1,0.25,6716942.1462732125
0.05,0.1,0.3,6784391.355673839
0.05,0.1,0.35,6833794.294582603
0.05,0.1,0.4,6838516.889494727
0.05,0.1,0.45,6866761.8539234465
0.05,0.1,0.5,6904808.140635645
0.05,0.1,0.55,6922688.104700408
0.05,0.1,0.6,6928417.875795443
0.05,0.1,0.65,6910517.788307457
0.05,0.1,0.7,6932377.31912546
0.05,0.1,0.75,6932341.988787407
0.05,0.1,0.8,6920996.222177823
0.05,0.1,0.85,6960470.464796041
0.05,0.1,0.9,6995183.4159147125
0.05,0.1,0.95,6996259.629691552
0.05,0.1,1.0,6650925.812121492
0.05,0.15,0.05,6599891.024316432
0.05,0.15,0.1,6552179.322388255
0.05,0.15,0.15,6684463.1672506295
0.05,0.15,0.2,6632463.866822342
0.05,0.15,0.25,6688532.7471260885
0.05,0.15,0.3,6805575.255680729
0.05,0.15,0.35,6783070.433111489
0.05,0.15,0.4,6825811.095959954
0.05,0.15,0.45,6829337.241204251
0.05,0.15,0.5,6880484.462354275
0.05,0.15,0.55,6931395.683835293
0.05,0.15,0.6,6914067.706002735
0.05,0.15,0.65,6933643.601142031
0.05,0.15,0.7,6935122.54691034
0.05,0.15,0.75,6932315.079520529
0.05,0.15,0.8,6970743.438109439
0.05,0.15,0.85,6956524.2500387505
0.05,0.15,0.9,6974227.173379378
0.05,0.15,0.95,7023430.677191986
0.05,0.15,1.0,6629195.595747934
0.05,0.2,0.05,6652375.556634547
0.05,0.2,0.1,6629632.691736586
0.05,0.2,0.15,6678768.886394503
0.05,0.2,0.2,6721174.324527412
0.05,0.2,0.25,6758281.389951615
0.05,0.2,0.3,6771384.3368756585
0.05,0.2,0.35,6820016.175579349
0.05,0.2,0.4,6829835.158478046
0.05,0.2,0.45,6873537.4044475965
0.05,0.2,0.5,6864252.799748975
0.05,0.2,0.55,6936346.118316562
0.05,0.2,0.6,6913558.773558928
0.05,0.2,0.65,6945307.107355226
0.05,0.2,0.7,6942888.944272984
0.05,0.2,0.75,6957365.964955561
0.05,0.2,0.8,6940328.477766866
0.05,0.2,0.85,6963353.516272867
0.05,0.2,0.9,6984673.74552995
0.05,0.2,0.95,6730518.583861721
0.05,0.2,1.0,6626176.268050466
0.05,0.25,0.05,6676690.07696396
0.05,0.25,0.1,6659688.553933864
0.05,0.25,0.15,6656237.149273338
0.05,0.25,0.2,6654908.770326438
0.05,0.25,0.25,6702688.655693246
0.05,0.25,0.3,6772860.22321143
0.05,0.25,0.35,6818043.17766173
0.05,0.25,0.4,6780331.125128974
0.05,0.25,0.45,6852142.102174077
0.05,0.25,0.5,6864591.59518625
0.05,0.25,0.55,6874771.234824786
0.05,0.25,0.6,6917578.602360092
0.05,0.25,0.65,6919559.607502973
0.05,0.25,0.7,6912908.491926869
0.05,0.25,0.75,6930400.213709539
0.05,0.25,0.8,6950600.7278824905
0.05,0.25,0.85,6973958.7148577655
0.05,0.25,0.9,6980089.538901504
0.05,0.25,0.95,6990076.012017177
0.05,0.25,1.0,6643640.810132615
0.05,0.3,0.05,6672870.683792559
0.05,0.3,0.1,6728361.948960919
0.05,0.3,0.15,6685294.677878989
0.05,0.3,0.2,6749417.211359166
0.05,0.3,0.25,6737780.843861932
0.05,0.3,0.3,6655690.715309229
0.05,0.3,0.35,6765303.266085391
0.05,0.3,0.4,6837466.383539127
0.05,0.3,0.45,6884929.101214245
0.05,0.3,0.5,6887053.488572877
0.05,0.3,0.55,6933064.271538703
0.05,0.3,0.6,6939400.402068083
0.05,0.3,0.65,6940819.4044367345
0.05,0.3,0.7,6941752.275916277
0.05,0.3,0.75,6949356.335679398
0.05,0.3,0.8,6988583.631335465
0.05,0.3,0.85,6959776.751041251
0.05,0.3,0.9,6976052.033522317
0.05,0.3,0.95,7013587.008042561
0.05,0.3,1.0,6655481.945563436
0.05,0.35,0.05,6642588.482350312
0.05,0.35,0.1,6611744.336452614
0.05,0.35,0.15,6566028.669330669
0.05,0.35,0.2,6597847.523300226
0.05,0.35,0.25,6775211.465865927
0.05,0.35,0.3,6749235.852166713
0.05,0.35,0.35,6830390.575672712
0.05,0.35,0.4,6863686.869803682
0.05,0.35,0.45,6855497.782600032
0.05,0.35,0.5,6896361.226467019
0.05,0.35,0.55,6898556.309664473
0.05,0.35,0.6,6899763.036254145
0.05,0.35,0.65,6920228.9982793415
0.05,0.35,0.7,6940605.467458963
0.05,0.35,0.75,6944384.754820652
0.05,0.35,0.8,6987904.764455656
0.05,0.35,0.85,6959251.102496477
0.05,0.35,0.9,6963826.176886225
0.05,0.35,0.95,7027271.422642177
0.05,0.35,1.0,6687484.147714324
0.05,0.4,0.05,6620854.775934735
0.05,0.4,0.1,6638643.386468715
0.05,0.4,0.15,6677341.546262137
0.05,0.4,0.2,6622698.9286352955
0.05,0.4,0.25,6715327.857159081
0.05,0.4,0.3,6774962.57604542
0.05,0.4,0.35,6799347.567892166
0.05,0.4,0.4,6845285.4597775005
0.05,0.4,0.45,6824983.78333407
0.05,0.4,0.5,6904584.464124229
0.05,0.4,0.55,6935728.154340589
0.05,0.4,0.6,6952968.074906436
0.05,0.4,0.65,6963273.864693249
0.05,0.4,0.7,6931064.489729287
0.05,0.4,0.75,6934327.007498647
0.05,0.4,0.8,6928627.061861584
0.05,0.4,0.85,6976101.19826783
0.05,0.4,0.9,6987512.610648159
0.05,0.4,0.95,6992935.826406694
0.05,0.4,1.0,6662225.522749839
0.05,0.45,0.05,6584468.6781035215
0.05,0.45,0.1,6675381.1765742935
0.05,0.45,0.15,6719485.622531451
0.05,0.45,0.2,6706491.64540343
0.05,0.45,0.25,6731090.468647988
0.05,0.45,0.3,6809668.2136641815
0.05,0.45,0.35,6777738.654511554
0.05,0.45,0.4,6867027.940561086
0.05,0.45,0.45,6849963.936412777
0.05,0.45,0.5,6884052.9947163835
0.05,0.45,0.55,6909313.7129657185
0.05,0.45,0.6,6900299.459468504
0.05,0.45,0.65,6945478.515290382
0.05,0.45,0.7,6958277.291854628
0.05,0.45,0.75,6965660.688354929
0.05,0.45,0.8,6947238.24714934
0.05,0.45,0.85,6943492.918092655
0.05,0.45,0.9,6975322.981857917
0.05,0.45,0.95,7015704.251046102
0.05,0.45,1.0,6660672.646508886
0.05,0.5,0.05,6645892.200595406
0.05,0.5,0.1,6629292.341537109
0.05,0.5,0.15,6688026.042770289
0.05,0.5,0.2,6636311.576966411
0.05,0.5,0.25,6692420.401754552
0.05,0.5,0.3,6783483.814748846
0.05,0.5,0.35,6850746.38007993
0.05,0.5,0.4,6830605.16506687
0.05,0.5,0.45,6864851.510584307
0.05,0.5,0.5,6897493.5875316635
0.05,0.5,0.55,6897604.839520052
0.05,0.5,0.6,6905507.062799819
0.05,0.5,0.65,6915870.862457687
0.05,0.5,0.7,6956297.597036473
0.05,0.5,0.75,6952538.845606996
0.05,0.5,0.8,6948898.305223687
0.05,0.5,0.85,6977560.62328695
0.05,0.5,0.9,6970079.469600965
0.05,0.5,0.95,7005582.447513831
0.05,0.5,1.0,6643360.204965977
0.05,0.55,0.05,6609247.2016721275
0.05,0.55,0.1,6681559.762889101
0.05,0.55,0.15,6662290.732724333
0.05,0.55,0.2,6676691.513318906
0.05,0.55,0.25,6739194.662080515
0.05,0.55,0.3,6761421.117661657
0.05,0.55,0.35,6756177.287560165
0.05,0.55,0.4,6823664.149925882
0.05,0.55,0.45,6814240.850837597
0.05,0.55,0.5,6882517.509730094
0.05,0.55,0.55,6934313.654606
0.05,0.55,0.6,6927113.521988085
0.05,0.55,0.65,6918816.652333278
0.05,0.55,0.7,6917757.150008011
0.05,0.55,0.75,6927784.79658938
0.05,0.55,0.8,6948644.986594724
0.05,0.55,0.85,6953423.562648199
0.05,0.55,0.9,6964983.385346189
0.05,0.55,0.95,7011984.763706606
0.05,0.55,1.0,6617639.270762338
0.05,0.6,0.05,6683103.060507907
0.05,0.6,0.1,6702563.947130176
0.05,0.6,0.15,6695189.543840463
0.05,0.6,0.2,6732959.785048099
0.05,0.6,0.25,6752334.680581087
0.05,0.6,0.3,6773816.613947159
0.05,0.6,0.35,6804034.08260175
0.05,0.6,0.4,6833986.846410682
0.05,0.6,0.45,6864084.399485849
0.05,0.6,0.5,6916423.204781117
0.05,0.6,0.55,6890925.012065714
0.05,0.6,0.6,6943067.787226915
0.05,0.6,0.65,6943625.7135935
0.05,0.6,0.7,6951145.402408109
0.05,0.6,0.75,6943932.920394014
0.05,0.6,0.8,6940462.603197768
0.05,0.6,0.85,6962517.308030455
0.05,0.6,0.9,6980736.822524933
0.05,0.6,0.95,6658790.033717875
0.05,0.6,1.0,6648634.602156769
0.05,0.65,0.05,6678576.023593376
0.05,0.65,0.1,6621486.414859288
0.05,0.65,0.15,6544751.424646015
0.05,0.65,0.2,6754995.207054456
0.05,0.65,0.25,6758017.854514662
0.05,0.65,0.3,6767909.468212809
0.05,0.65,0.35,6859115.703186076
0.05,0.65,0.4,6810037.310357835
0.05,0.65,0.45,6874333.804574308
0.05,0.65,0.5,6853454.920385671
0.05,0.65,0.55,6901767.55936733
0.05,0.65,0.6,6923097.970588829
0.05,0.65,0.65,6920102.396232624
0.05,0.65,0.7,6937019.43345902
0.05,0.65,0.75,6950017.261261892
0.05,0.65,0.8,6959890.105680469
0.05,0.65,0.85,6945081.028042446
0.05,0.65,0.9,6996907.170016272
0.05,0.65,0.95,7027884.157505093
0.05,0.65,1.0,6626809.639518614
0.05,0.7,0.05,6588250.973783715
0.05,0.7,0.1,6675977.4001790155
0.05,0.7,0.15,6686263.787049955
0.05,0.7,0.2,6708417.280573475
0.05,0.7,0.25,6739026.763647456
0.05,0.7,0.3,6803065.00629563
0.05,0.7,0.35,6831847.302160402
0.05,0.7,0.4,6873768.628282856
0.05,0.7,0.45,6898753.817849128
0.05,0.7,0.5,6879660.870395066
0.05,0.7,0.55,6891651.09312538
0.05,0.7,0.6,6923804.218901454
0.05,0.7,0.65,6940047.842631169
0.05,0.7,0.7,6911130.699644417
0.05,0.7,0.75,6939093.722616638
0.05,0.7,0.8,6919621.136636773
0.05,0.7,0.85,6988484.232864365
0.05,0.7,0.9,7000841.304246163
0.05,0.7,0.95,7036256.371055468
0.05,0.7,1.0,6655501.287913156
0.05,0.75,0.05,6661769.644385497
0.05,0.75,0.1,6690259.842966678
0.05,0.75,0.15,6619730.58365578
0.05,0.75,0.2,6756178.595764919
0.05,0.75,0.25,6632114.133740986
0.05,0.75,0.3,6795180.616169663
0.05,0.75,0.35,6803498.194091395
0.05,0.75,0.4,6828452.678371768
0.05,0.75,0.45,6880803.588114757
0.05,0.75,0.5,6878416.411821819
0.05,0.75,0.55,6887545.907508609
0.05,0.75,0.6,6938518.597087417
0.05,0.75,0.65,6913892.799768297
0.05,0.75,0.7,6930549.336641443
0.05,0.75,0.75,6956294.143575465
0.05,0.75,0.8,6930128.277111918
0.05,0.75,0.85,6935415.777746022
0.05,0.75,0.9,6976268.090067892
0.05,0.75,0.95,6633742.070166679
0.05,0.75,1.0,6617527.366337201
0.05,0.8,0.05,6696583.212209401
0.05,0.8,0.1,6711477.238574633
0.05,0.8,0.15,6630085.104080674
0.05,0.8,0.2,6723231.820357498
0.05,0.8,0.25,6761593.14810106
0.05,0.8,0.3,6777393.267259378
0.05,0.8,0.35,6811504.48939223
0.05,0.8,0.4,6817998.482200456
0.05,0.8,0.45,6930366.742052822
0.05,0.8,0.5,6917531.197699217
0.05,0.8,0.55,6955240.778996272
0.05,0.8,0.6,6952511.088410376
0.05,0.8,0.65,6920295.570640242
0.05,0.8,0.7,6943504.268884337
0.05,0.8,0.75,6935136.495503481
0.05,0.8,0.8,6960621.368939629
0.05,0.8,0.85,6969392.527395202
0.05,0.8,0.9,6958134.724631826
0.05,0.8,0.95,6675795.22099396
0.05,0.8,1.0,6623808.136427469
0.05,0.85,0.05,6634757.540708615
0.05,0.85,0.1,6708094.686296513
0.05,0.85,0.15,6690264.286581489
0.05,0.85,0.2,6731964.944069598
0.05,0.85,0.25,6729649.927110946
0.05,0.85,0.3,6825692.014772004
0.05,0.85,0.35,6844116.751625452
0.05,0.85,0.4,6848009.537080947
0.05,0.85,0.45,6848226.408910021
0.05,0.85,0.5,6858358.038299426
0.05,0.85,0.55,6930081.349087459
0.05,0.85,0.6,6939508.934028285
0.05,0.85,0.65,6910956.814587937
0.05,0.85,0.7,6942452.636400746
0.05,0.85,0.75,6938298.4523396045
0.05,0.85,0.8,6936386.974945889
0.05,0.85,0.85,6986726.727273401
0.05,0.85,0.9,6973102.63326877
0.05,0.85,0.95,7026162.902559686
0.05,0.85,1.0,6663139.210775113
0.05,0.9,0.05,6664277.063323673
0.05,0.9,0.1,6686006.62010113
0.05,0.9,0.15,6704231.731526111
0.05,0.9,0.2,6649372.272243232
0.05,0.9,0.25,6689870.15465656
0.05,0.9,0.3,6793441.667071711
0.05,0.9,0.35,6777083.020104049
0.05,0.9,0.4,6819719.5470284475
0.05,0.9,0.45,6891248.641464539
0.05,0.9,0.5,6890789.932289727
0.05,0.9,0.55,6943207.208819283
0.05,0.9,0.6,6915999.986593535
0.05,0.9,0.65,6945827.778122028
0.05,0.9,0.7,6929194.440384297
0.05,0.9,0.75,6929226.359566423
0.05,0.9,0.8,6948101.600381973
0.05,0.9,0.85,6968367.247686284
0.05,0.9,0.9,6968131.703781243
0.05,0.9,0.95,6682616.773061906
0.05,0.9,1.0,6588089.0463638175
0.05,0.95,0.05,6645691.1311366055
0.05,0.95,0.1,6624838.731176622
0.05,0.95,0.15,6631356.448253892
0.05,0.95,0.2,6625898.00374283
0.05,0.95,0.25,6728565.645089772
0.05,0.95,0.3,6807801.222032596
0.05,0.95,0.35,6797138.370491393
0.05,0.95,0.4,6841965.981372821
0.05,0.95,0.45,6912957.939822877
0.05,0.95,0.5,6878125.496216947
0.05,0.95,0.55,6904682.28052026
