Run_ID,Seed,Method,Turbine_Count,Net_AEP_GWh,Total_Cost_USD,Turbine_Coords_X,Turbine_Coords_Y,Substation_X,Substation_Y,N_Grupos
1,431964317,Baseline,16,416.829245563788,206243.577918373514,"322.529666502115,536.908182798426,1125.267268711982,-290.350655295399,-963.203122396596,707.842119887932,1045.619198092843,1305.659228248826,1102.657103037817,85.223623649833,-1222.067432686051,-1510.768574883390,-1421.757216600307,-204.976748433902,-164.557827819008,802.152016902231","413.353000364498,-160.411402547431,692.557438963976,970.337376215748,-493.898835676146,-964.043091198943,233.944300814212,1231.779261148041,1983.475258579228,1841.464438021466,1513.107074320991,346.879095772412,-868.569673093310,-1610.901264051168,-1976.029966870094,-1342.220627302231",224.565372792589,-128.898871991466,16
1,431964317,Sequential,16,464.617333372051,537124.005762329907,"-4565.168485292351,2049.238277899295,952.974127714352,-1080.580545118143,-2583.875117099610,-50.176637501400,1694.693428496787,4133.004711520301,2360.833278299450,-397.812420729622,-1939.391203986196,-3090.225384912912,-3570.522148880310,-759.263173312841,3269.296525745338,4486.576529185416","1047.052993102553,-4475.569888291959,4126.270606843976,79.674763172355,-1862.844224874277,-1488.221586182643,-417.378062820917,1583.225285094579,1954.342181674743,2364.195315781237,4608.543469680193,3010.606160740710,-3361.312512289257,-4941.973236139851,-2517.083884937651,-857.384160487632",-682.110723923197,79.638442462104,16
1,431964317,Proposed,16,459.060264092977,480974.927066337841,"-4115.291760474937,2118.141073599639,497.804792743535,-1020.514008658005,-2213.346938758813,119.482112039833,1601.346305767532,3612.546127076924,2144.105691258698,205.919683254557,-1851.396291506751,-2675.926736425679,-3124.679100103067,-612.257824563257,2760.830997386098,4183.783159054877","883.205153945670,-3938.103200639165,3501.039066711581,-9.203166211573,-1958.475363487669,-1483.736332330872,-552.701033787817,1362.337901754410,1710.339159815347,2110.307633301818,4064.387724174946,3011.242808842213,-3094.631310551534,-4364.682799773669,-2793.340593941952,-924.384469758070",223.023804907937,-456.701748298034,16
2,1423963521,Baseline,16,411.604750591708,202881.439196854568,"745.218690651157,891.591988001818,-86.846747090174,-1082.597146092119,-435.050829072851,279.376961750183,1679.447033803321,961.054309150911,-534.605756199695,-225.431657587787,-1036.186637545930,-1299.287250165833,-1023.115240887166,-1228.574226627579,383.336039688881,1437.367806384260","-410.776721419337,306.331234648354,575.455839430276,522.238833538281,-531.463261683635,-1025.148931226648,891.417707774857,1588.074333531885,1484.931841177317,1787.824901674860,1071.979443515076,-125.503343539985,-1198.446013813006,-1813.361926566249,-1662.972302016912,-758.862017201404",-289.313879742744,214.849940462511,16
2,1423963521,Sequential,16,462.648904970813,606340.413668547058,"250.457178388107,-590.028592109446,537.312046879915,6.753751793666,-4291.019266186498,-4618.816218430793,4963.606159386150,3678.573348747949,2492.457652916496,-3980.478169119807,-3074.275109974340,-1144.878238401244,-1638.770397331898,847.505028149971,2585.756152563212,4002.873089493439","-533.582187733089,4965.034811627745,3114.828141071040,1250.794858020324,-52.321701178714,-1914.818255305667,602.172529692637,2419.002310988627,4290.539506790959,2062.203298072732,3553.810961398850,-2472.066026258166,-4320.455604092849,-4888.724231841714,-3575.415423611616,-1035.946366426080",-126.828054640642,601.309471624375,9
2,1423963521,Proposed,16,459.412509097893,558500.926819298416,"-275.870891286884,-697.509300366823,712.412895064781,-43.897239731537,-4261.564037715611,-4604.128375225070,4926.133228137081,3869.947391425270,2230.147857904072,-3857.141023380712,-2618.729365007325,-1272.114431539810,-1667.188181299719,531.085863949940,2511.405283619921,3807.035521967371","-634.269211673789,4944.617281965948,3100.575715248155,1458.270704504571,357.845503818349,-1364.043989382584,739.852092297597,2231.675138154919,4089.719503875738,2127.519104607043,3660.759677251449,-2053.145659784709,-4117.660241350227,-4714.544559525541,-3333.099347438293,-1138.824197001696",-384.451090336427,1.474350727216,16
3,2063841602,Baseline,16,402.983875224956,176221.890671559435,"648.321222018644,468.651932870743,738.025078266881,-99.383679419756,-556.520616064356,-250.938472312177,1211.857949252402,1656.484263294114,1445.435745443695,-362.117832352032,-1581.785860773117,-681.631012553015,-1228.062440484785,-503.219635982973,486.619330198421,431.308366717266","138.605385359651,-319.371348639139,926.018044199257,1158.323374206184,-116.164282187540,-698.777801828254,215.957992480631,1063.377227372190,676.746692696555,1800.593892176170,400.800725130673,534.735307754543,-847.762650302826,-1006.140549041151,-1622.576337040445,-1221.244629717095",24.674102437509,-92.511424705400,16
3,2063841602,Sequential,16,463.871125974241,720166.291084278142,"3479.997752739474,1847.331870255136,87.793825553244,-532.805151438644,-1499.410489095340,1165.428521386976,4632.063704807510,4022.075613739974,757.488881399677,-2394.198964673812,-3562.494187450433,-4994.507129160736,-4406.248427912770,-2054.237582968521,1508.244121268804,3734.795500031823","380.654351595885,-4646.212468213727,4999.224536361417,948.848060282973,-762.050227887525,-1250.121328344383,-361.389113796919,2306.658946410582,1874.002483032025,3589.044339299810,2796.045919192123,233.956188276935,-2363.217283551847,-3714.135315817089,-3011.843329727308,-1710.974695602839",-289.773802567555,233.839592741986,14
3,2063841602,Proposed,16,461.959602577489,532872.829031699570,"3490.259796387061,1840.593144244828,135.896486723172,-571.748070920020,-1464.167876125738,1164.672224161198,4624.586388492849,4153.250360386320,909.208822916683,-2293.472747268067,-3657.100524240316,-4992.796941683528,-4434.405453849272,-1925.745971102582,1580.552081728390,3713.524635954489","399.140244850276,-4648.894156394501,4972.384045757768,789.293530195621,-673.203215465006,-1192.395871994396,-356.017648516172,2180.373982174503,1835.573109263057,3548.389811086871,2682.904612555076,268.288462509321,-2309.988803191876,-3610.724049044658,-2961.903677986361,-1693.166318013620",142.069147237842,-48.121621388381,16
4,1733343714,Baseline,16,403.053891547190,188176.098195697647,"238.719984185944,780.882658741902,121.420043034933,-1051.965832698242,-614.831302528037,333.255388340435,1500.358107484416,1527.235046806517,264.295096878652,-891.455097993063,-1279.657318261428,-1620.643291952342,-1395.458596779205,-464.375724232989,906.826929669860,923.306509848927","56.858228319454,-225.113175190150,724.534602556019,358.350023501598,-452.393394313469,-648.214745927024,296.429783254616,819.666498716229,1609.144886214437,1255.367569696972,1222.520669618415,253.955142053740,-1224.766237091665,-1298.826002035176,-1826.534830412752,-870.415530121301",46.133377791733,-210.059209085336,16
