Run_ID,Seed,Method,Turbine_Count,Net_AEP_GWh,Total_Cost_USD,LCOE_Proxy_USD_MWh,Gross_AEP_GWh,Wake_Loss_Percentage,Electrical_Loss_Percentage,Electrical_Loss_MWh,Total_Cable_Length_km,Substation_Eccentricity_m,Num_Cable_Strings,Avg_Turbines_Per_String,Std_Turbines_Per_String,Cable_Sections_Used,Time_Total_s,Time_Phase1_s,Time_Phase2_s,Final_Hypervolume,Pareto_Spread,Num_Solutions_Pareto,Feasibility_Rate_Final
1,1769823322,Baseline,64,1287.607691,1510232.603844,1.172898,1294.487413,0.000000,0.531463,6879.722063,120.156517,50.000000,49,1.306122,0.460881,,4492.416617,0.000000,0.000000,6779932079368.818359,0.000000,19,100.000000
1,1769823322,Sequential,64,1476.340467,3882408.554395,2.629751,1521.678088,0.000000,2.979449,45337.620713,90.086413,1149.703040,5,12.800000,0.400000,,3364.641777,0.000000,0.000000,25637717782124.378906,0.000000,1,100.000000
1,1769823322,Proposed,64,1500.545128,2097949.531226,1.398125,1510.785433,0.000000,0.677813,10240.304755,166.916214,0.000000,47,1.361702,0.480493,,2761.284698,0.000000,0.000000,23260668444302.582031,0.000000,2,100.000000
2,1234031272,Baseline,64,1287.554470,1500407.104221,1.165315,1294.487413,0.000000,0.535574,6932.943093,119.374785,50.000000,48,1.333333,0.471405,,4506.535438,0.000000,0.000000,6779932079368.818359,0.000000,13,100.000000
2,1234031272,Sequential,64,1477.318006,4163479.999780,2.818269,1521.609899,0.000000,2.910857,44291.892199,96.608323,171.815384,5,12.800000,0.400000,,3367.197451,0.000000,0.000000,25316324104019.527344,0.000000,1,100.000000
2,1234031272,Proposed,64,1497.538883,2038501.734531,1.361235,1507.166770,0.000000,0.638807,9627.886350,162.186452,0.000000,46,1.391304,0.488042,,2675.830471,0.000000,0.000000,22891568030254.648438,0.000000,2,100.000000
3,2000746483,Baseline,64,1287.607691,1510232.603844,1.172898,1294.487413,0.000000,0.531463,6879.722063,120.156517,50.000000,49,1.306122,0.460881,,4504.291126,0.000000,0.000000,6779932079368.818359,0.000000,20,100.000000
3,2000746483,Sequential,64,1484.929405,4061361.519967,2.735054,1532.377479,0.000000,3.096370,47448.073952,94.238792,371.147245,5,12.800000,0.400000,,3354.099808,0.000000,0.000000,25285436162959.367188,0.000000,1,100.000000
3,2000746483,Proposed,64,1507.394578,1871371.227815,1.241461,1518.110642,0.000000,0.705882,10716.064013,148.889283,0.000000,42,1.523810,0.499433,,2735.709586,0.000000,0.000000,23652273042865.753906,0.000000,1,100.000000
4,1835818273,Baseline,64,1287.554470,1500407.104221,1.165315,1294.487413,0.000000,0.535574,6932.943093,119.374785,50.000000,48,1.333333,0.471405,,4511.220525,0.000000,0.000000,6779932079368.818359,0.000000,24,100.000000
4,1835818273,Sequential,64,1482.358570,4540474.343165,3.063007,1527.999772,0.000000,2.986990,45641.201242,105.356003,250.024224,5,12.800000,0.400000,,3362.426259,0.000000,0.000000,25824761236302.980469,0.000000,1,100.000000
4,1835818273,Proposed,64,1489.287139,1909297.474208,1.282021,1499.433020,0.000000,0.676648,10145.881654,151.906755,0.000000,44,1.454545,0.497930,,2708.966373,0.000000,0.000000,23181854561633.820312,0.167412,5,100.000000
5,72539805,Baseline,64,1292.090431,3300183.505884,2.554143,1329.639881,0.000000,2.824032,37549.450315,76.576612,797.498276,5,12.800000,0.400000,,6535.201042,0.000000,0.000000,23785659244369.855469,0.573737,3,100.000000
5,72539805,Sequential,64,1487.035083,3824952.177398,2.572200,1531.103394,0.000000,2.878206,44068.310885,88.753210,243.622669,5,12.800000,0.400000,,3359.231955,0.000000,0.000000,25837052573841.984375,0.000000,1,100.000000
