INDPB,MUTPB,CXPB,AEP
0.05,0.05,0.05,7356419.492571248
0.05,0.05,0.1,8439681.317117836
0.05,0.05,0.15,7461039.538403938
0.05,0.05,0.2,8368466.411572574
0.05,0.05,0.25,8536036.445327148
0.05,0.05,0.3,8619311.327861724
0.05,0.05,0.35,8577531.26766256
0.05,0.05,0.4,8660892.37646691
0.05,0.05,0.45,8780097.84795316
0.05,0.05,0.5,7785414.4460458085
0.05,0.05,0.55,7562141.039336596
0.05,0.05,0.6,8859880.339373667
0.05,0.05,0.65,8880386.400772344
0.05,0.05,0.7,8869152.889858231
0.05,0.05,0.75,8874847.55709662
0.05,0.05,0.8,8894511.383689974
0.05,0.05,0.85,8620514.04449283
0.05,0.05,0.9,8983151.304655463
0.05,0.05,0.95,8641169.043892203
0.05,0.05,1.0,8445840.577345237
0.05,0.1,0.05,8237958.606434237
0.05,0.1,0.1,8315689.6836753385
0.05,0.1,0.15,8553517.12729879
0.05,0.1,0.2,8515017.309612175
0.05,0.1,0.25,8539310.712672085
0.05,0.1,0.3,8623423.130921505
0.05,0.1,0.35,8734183.543383794
0.05,0.1,0.4,8766351.201871654
0.05,0.1,0.45,8807674.920475863
0.05,0.1,0.5,8827948.435603483
0.05,0.1,0.55,8863691.47628191
0.05,0.1,0.6,8871733.873425484
0.05,0.1,0.65,8901114.04369336
0.05,0.1,0.7,8900064.321915803
0.05,0.1,0.75,7917088.366051147
0.05,0.1,0.8,8937268.67384555
0.05,0.1,0.85,8939202.151858486
0.05,0.1,0.9,7568847.471536646
0.05,0.1,0.95,8989423.259964168
0.05,0.1,1.0,8445420.818694282
0.05,0.15,0.05,8351338.726783028
0.05,0.15,0.1,8413957.223102108
0.05,0.15,0.15,8316931.434871657
0.05,0.15,0.2,8427740.11783919
0.05,0.15,0.25,8561164.608590577
0.05,0.15,0.3,8687256.072725724
0.05,0.15,0.35,8654355.421755884
0.05,0.15,0.4,8764417.39608023
0.05,0.15,0.45,8759461.888709191
0.05,0.15,0.5,8819160.563656162
0.05,0.15,0.55,8870534.994539674
0.05,0.15,0.6,8877633.365240864
0.05,0.15,0.65,8903162.907330392
0.05,0.15,0.7,8896602.928540472
0.05,0.15,0.75,8890231.457163492
0.05,0.15,0.8,8914364.210652027
0.05,0.15,0.85,8914276.650698619
0.05,0.15,0.9,8978979.232492156
