INDPB,MUTPB,CXPB,AEP
0.05,0.05,0.05,-1467873.011931222
0.05,0.05,0.1,2464718.362209089
0.05,0.05,0.15,6725633.31371538
0.05,0.05,0.2,11789420.866784427
0.05,0.05,0.25,2860006.6297189463
0.05,0.05,0.3,9981350.76162689
0.05,0.05,0.35,8211319.810618294
0.05,0.05,0.4,9151482.533708192
0.05,0.05,0.45,9594594.898503661
0.05,0.05,0.5,14358243.47192476
0.05,0.05,0.55,10522017.558288261
0.05,0.05,0.6,12524784.140822249
0.05,0.05,0.65,13570569.642226001
0.05,0.05,0.7,14698826.555942506
0.05,0.05,0.75,12657708.888709322
0.05,0.05,0.8,13637961.837801041
0.05,0.05,0.85,13723886.303207569
0.05,0.05,0.9,14792304.098229727
0.05,0.05,0.95,-2690110.857753692
0.05,0.05,1.0,11380711.607543994
0.05,0.1,0.05,5503299.918830529
0.05,0.1,0.1,10384578.68357932
0.05,0.1,0.15,9833930.596160317
0.05,0.1,0.2,4395785.342652291
0.05,0.1,0.25,11985602.524235303
0.05,0.1,0.3,1516502.9097029269
0.05,0.1,0.35,10999046.51927244
0.05,0.1,0.4,12212667.618903995
0.05,0.1,0.45,7363085.136496587
0.05,0.1,0.5,12446855.684104793
0.05,0.1,0.55,13423394.34562321
0.05,0.1,0.6,13539375.944450945
0.05,0.1,0.65,11623824.293155089
0.05,0.1,0.7,14556839.613887697
0.05,0.1,0.75,14647258.663686505
0.05,0.1,0.8,14649472.368795801
0.05,0.1,0.85,14659364.59307225
0.05,0.1,0.9,14724023.958728047
0.05,0.1,0.95,13393817.40634895
0.05,0.1,1.0,12330299.439377807
0.05,0.15,0.05,5524455.176891305
0.05,0.15,0.1,10638163.126863975
0.05,0.15,0.15,9685020.791755263
0.05,0.15,0.2,8722527.218957286
0.05,0.15,0.25,4686382.106469899
0.05,0.15,0.3,12918587.862262674
0.05,0.15,0.35,12237856.557514103
0.05,0.15,0.4,8408692.89145495
0.05,0.15,0.45,11423732.83229766
0.05,0.15,0.5,13318758.764467668
0.05,0.15,0.55,11508162.172358792
0.05,0.15,0.6,12558695.593998523
0.05,0.15,0.65,14589480.910024486
0.05,0.15,0.7,14653640.550353091
0.05,0.15,0.75,14681673.86956288
0.05,0.15,0.8,14675829.410660764
0.05,0.15,0.85,14709415.320824018
0.05,0.15,0.9,14705911.161245834
0.05,0.15,0.95,12340490.976008128
0.05,0.15,1.0,10219042.892969359
0.05,0.2,0.05,3397964.8577557877
0.05,0.2,0.1,4496963.139145259
0.05,0.2,0.15,5556715.376070274
0.05,0.2,0.2,9936156.179721028
0.05,0.2,0.25,9534436.51101545
0.05,0.2,0.3,8044054.8642861135
0.05,0.2,0.35,12147923.480176546
0.05,0.2,0.4,14133449.51425241
0.05,0.2,0.45,14297350.959829226
0.05,0.2,0.5,12409996.14513553
0.05,0.2,0.55,12518752.544425856
0.05,0.2,0.6,13523267.07386505
0.05,0.2,0.65,14566259.869648669
0.05,0.2,0.7,13562230.574078899
0.05,0.2,0.75,14628035.645086609
0.05,0.2,0.8,14693887.006860802
0.05,0.2,0.85,14753432.541511009
0.05,0.2,0.9,14146811.912535742
0.05,0.2,0.95,13257530.280526118
0.05,0.2,1.0,11242779.686457139
0.05,0.25,0.05,4403643.46163832
0.05,0.25,0.1,10539301.159076238
0.05,0.25,0.15,11755468.480435608
0.05,0.25,0.2,6923502.475734424
0.05,0.25,0.25,8428637.85605679
0.05,0.25,0.3,7973910.1728385
0.05,0.25,0.35,13013279.849328674
0.05,0.25,0.4,11248507.643432798
0.05,0.25,0.45,12346886.904372763
0.05,0.25,0.5,13447275.289260454
0.05,0.25,0.55,14440758.400153048
0.05,0.25,0.6,14583984.784027437
0.05,0.25,0.65,14595151.816931898
0.05,0.25,0.7,14616341.396884844
0.05,0.25,0.75,13608055.104302127
0.05,0.25,0.8,14657849.462159388
0.05,0.25,0.85,14657756.742369402
0.05,0.25,0.9,14681038.6066178
0.05,0.25,0.95,13427273.850894062
0.05,0.25,1.0,10280246.258136673
0.05,0.3,0.05,9572565.090309104
0.05,0.3,0.1,4377625.841103163
0.05,0.3,0.15,6558413.782458339
0.05,0.3,0.2,11840827.933001354
0.05,0.3,0.25,9886553.614586819
0.05,0.3,0.3,8923290.801104907
0.05,0.3,0.35,11078092.346311232
0.05,0.3,0.4,12238756.406027166
0.05,0.3,0.45,12228616.287234962
0.05,0.3,0.5,12345331.868766828
0.05,0.3,0.55,14412813.471803486
0.05,0.3,0.6,14555779.918498112
0.05,0.3,0.65,14514530.652006604
0.05,0.3,0.7,14596932.763106499
0.05,0.3,0.75,14680745.145095162
0.05,0.3,0.8,14689379.967408225
0.05,0.3,0.85,13728867.871454008
0.05,0.3,0.9,14744173.73684652
0.05,0.3,0.95,13315032.551744739
0.05,0.3,1.0,10433945.846630577
0.05,0.35,0.05,6313051.418790437
0.05,0.35,0.1,6558498.060909968
0.05,0.35,0.15,7766125.496286212
0.05,0.35,0.2,9593325.947828986
0.05,0.35,0.25,10843709.630554337
0.05,0.35,0.3,9920015.14596659
0.05,0.35,0.35,10517131.012026105
0.05,0.35,0.4,12158692.133142151
0.05,0.35,0.45,14398587.587328274
0.05,0.35,0.5,14480725.0643303
0.05,0.35,0.55,13384032.525558487
0.05,0.35,0.6,13508831.356047174
0.05,0.35,0.65,13622461.413664721
0.05,0.35,0.7,14607940.86778665
0.05,0.35,0.75,14677986.034152951
0.05,0.35,0.8,14610767.167942278
0.05,0.35,0.85,14677586.734395858
0.05,0.35,0.9,14737808.345227977
0.05,0.35,0.95,13302199.813418362
0.05,0.35,1.0,11242979.590744672
0.05,0.4,0.05,7636177.28216335
0.05,0.4,0.1,5506679.421856614
0.05,0.4,0.15,11549379.33055866
0.05,0.4,0.2,10765972.758851143
0.05,0.4,0.25,13877674.04802434
0.05,0.4,0.3,11093750.968271114
0.05,0.4,0.35,12009093.09472179
0.05,0.4,0.4,13036730.01505468
0.05,0.4,0.45,14281571.973542841
0.05,0.4,0.5,13394374.475359365
0.05,0.4,0.55,14494151.290028658
0.05,0.4,0.6,12496569.491578676
0.05,0.4,0.65,14573640.205888305
0.05,0.4,0.7,14622532.756620035
0.05,0.4,0.75,14703955.945520718
0.05,0.4,0.8,14695652.985724408
0.05,0.4,0.85,14712349.136454571
0.05,0.4,0.9,14721307.057731226
0.05,0.4,0.95,13277246.336041227
0.05,0.4,1.0,10215425.000005424
0.05,0.45,0.05,8229226.983450498
0.05,0.45,0.1,9546819.339808606
0.05,0.45,0.15,8620514.311593443
0.05,0.45,0.2,9823850.53985178
0.05,0.45,0.25,10888956.346829519
0.05,0.45,0.3,11113695.595114294
0.05,0.45,0.35,12111784.192419864
0.05,0.45,0.4,13071591.789832069
0.05,0.45,0.45,14364688.808755957
0.05,0.45,0.5,14392565.634386323
0.05,0.45,0.55,13430422.879143655
0.05,0.45,0.6,14437066.122828426
0.05,0.45,0.65,14631502.626140106
0.05,0.45,0.7,14607153.956664314
0.05,0.45,0.75,13598266.808065806
0.05,0.45,0.8,14712143.789926473
0.05,0.45,0.85,14702145.226926407
0.05,0.45,0.9,14697450.421774972
0.05,0.45,0.95,12270964.659908775
0.05,0.45,1.0,10318929.816117482
0.05,0.5,0.05,6471548.151776489
0.05,0.5,0.1,2235759.671801677
0.05,0.5,0.15,9655112.436435336
0.05,0.5,0.2,8614012.55152547
0.05,0.5,0.25,12982485.967495862
