Method,AEP_Liquido_MWh,AEP_Bruto_MWh,Custo_Total_USD,Perdas_Joule_MWh,N_Grupos,Comprimento_Total_km,Secao_Cabo_mm2,Substation_X_m,Substation_Y_m,Time_Total_seconds,N_Solutions_Pareto,Spread,Hypervolume,AEP_Max_MWh,AEP_Min_MWh,Cost_Max_USD,Cost_Min_USD,N_Generations,Seed,Run,Time_Phase1_seconds,Time_Phase2_seconds,N_Generations_Phase1,N_Generations_Phase2,AEP_Bruto_Phase1_MWh,N_Top_Layouts_Phase1
Baseline,414875.45,416981.74,308320.91,2106.28,4,14.31,120,-558.04,1169.94,1069.89,282,0.03,8511886676966.14,428715.26,362003.43,561809.72,126909.42,1000,734368159,1,,,,,,
Sequential,461201.51,467364.83,990556.67,6163.31,4,45.97,120,-280.97,-257.49,532.19,1,0.00,8767183989506.48,461201.51,461201.51,990556.67,990556.67,1000,734368159,1,0.00,0.00,500.00,500.00,467364.83,
Proposed,462682.87,467364.25,733571.83,4681.38,6,43.00,95,-1531.69,1346.78,656.29,300,0.05,8982934514631.90,462865.22,461371.15,908081.42,592334.27,1000,734368159,1,0.00,0.00,500.00,500.00,,30.00
Baseline,413296.69,414624.20,180538.24,1327.51,8,14.36,70,-77.77,100.66,1012.76,270,0.03,8620616463513.82,433987.46,341168.12,358457.05,124478.60,1000,2040879196,2,,,,,,
Sequential,463584.27,467518.06,850631.59,3933.79,5,39.47,120,640.65,56.07,518.32,1,0.00,8877346068174.90,463584.27,463584.27,850631.59,850631.59,1000,2040879196,2,0.00,0.00,500.00,500.00,467518.06,
Proposed,457545.47,461599.93,687381.02,4054.46,6,40.29,95,-2064.26,1381.09,701.32,300,0.04,8991843695622.01,461648.14,447952.76,1411600.90,517840.10,1000,2040879196,2,0.00,0.00,500.00,500.00,,30.00
Baseline,395752.71,396828.81,161549.92,1076.09,8,12.85,70,-228.89,-75.79,993.76,299,0.03,7997392402614.28,402636.92,361524.04,216056.09,134913.31,1000,175872006,3,,,,,,
Sequential,463489.41,467380.99,807826.15,3891.58,5,37.49,120,341.07,82.84,520.29,1,0.00,8895369354901.56,463489.41,463489.41,807826.15,807826.15,1000,175872006,3,0.00,0.00,500.00,500.00,467380.99,
Proposed,456320.66,460038.40,576611.92,3717.74,6,33.80,95,-88.15,251.85,665.89,293,0.03,9012607950967.84,461865.68,439854.29,935538.46,482782.47,1000,175872006,3,0.00,0.00,500.00,500.00,,30.00
Baseline,397301.24,398415.34,178317.50,1114.11,8,14.19,70,-130.92,-241.51,1025.63,286,0.03,8267038016973.03,416254.75,337806.31,280314.12,131481.69,1000,360556639,4,,,,,,
Sequential,463212.01,467615.78,682017.93,4403.77,6,39.98,95,-1288.37,660.45,503.74,1,0.00,8948321347704.23,463212.01,463212.01,682017.93,682017.93,1000,360556639,4,0.00,0.00,500.00,500.00,467615.78,
Proposed,460855.70,466602.93,841554.07,5747.23,4,39.05,120,-2220.10,3429.18,703.89,299,0.04,8987096219969.32,461726.30,454040.77,1330579.98,532349.43,1000,360556639,4,0.00,0.00,500.00,500.00,,30.00
Baseline,414217.38,415515.64,235597.45,1298.27,6,13.81,95,37.35,5.92,1074.56,299,0.03,8404988984562.33,423113.29,331228.65,503063.83,123117.76,1000,1413812435,5,,,,,,
